B_Index,N_Index,Cl_Index,conf_idxs_ts,TS_G,deltaG(kcal/mol),deltaGa(kcal/mol),B_Cl,C_Cl,G_energy_qharm,TS_G_qharm,deltaG_react_qharm,deltaG_qharm(kcal/mol),deltaGa_qharm(kcal/mol)
388,71,492,10,-2436.856731,20.231855,25.8347021,2.252839609,1.989601242,-2437.072759,-2437.037561,-1.045917402,-1.045917402,22.08687045
388,143,480,2,-1979.710016,20.03613775,26.04868588,2.229464529,2.020105547,-1979.829595,-1979.792276,-3.89108427,-3.89108427,23.41812558
388,143,483,0,-1924.33458,2.54921875,29.81886903,2.161498151,2.03450505,-1924.459441,-1924.41489,3.506329185,3.506329185,27.95616016
388,143,485,0,-1946.302429,-3.58848425,46.6732241,2.231557395,2.040379335,-1946.474187,-1946.435682,-2.814297849,-2.814297849,24.16199792
388,143,492,11,-1794.912201,25.223994,30.92823882,2.016619581,2.036674007,-1795.034761,-1794.989662,4.354755207,4.354755207,28.30012272
388,143,618,10,-2716.34701,-3.2161885,26.38742293,2.033545634,2.024583138,-2716.46628,-2716.426947,-2.280628348,-2.280628348,24.68175627
388,160,462,0,-1439.698526,3.99949675,30.73386442,2.111125246,2.268727068,-1439.79225,-1439.752453,5.554224587,5.554224587,24.97243874
388,160,474,11,-1334.434202,20.48693375,38.6462943,2.008476145,2.325012849,-1334.580803,-1334.523444,21.92905267,21.92905267,35.99348284
388,160,490,0,-1117.38939,18.82932975,37.63901875,2.048582804,2.326773637,-1117.501766,-1117.445825,20.01086867,20.01086867,35.10304596
388,163,462,0,-1887.134781,-1.21829125,28.06219532,2.260200565,2.166527941,-1887.171965,-1887.135281,-3.026675567,-3.026675567,23.0199618
388,193,462,0,-1557.562179,-3.28276625,27.16755602,2.263651048,2.203618403,-1557.668605,-1557.632971,-2.21673996,-2.21673996,22.36075758
388,195,462,0,-1670.630043,1.802933,30.2097325,2.243370046,2.239288573,-1670.777102,-1670.737124,1.628455531,1.628455531,25.08634454
388,236,555,1,-1189.925506,-1.994446,29.81063622,2.228431634,2.272214182,-1190.019873,-1189.981508,-2.648401893,-2.648401893,24.07432292
