B_smiles,B_Index,B_Atomid,N_smiles,N_Index,N_Atomid,Cl_smiles,Cl_Index,Cl_Atomid,B_N_Cl_conf,Cl_r_conf,deltaG_react,G_energy_qharm,deltaG_react_qharm
B,388,0,CCN(CC)CC,0,2,ClCN1CCCC1,500,0,1,0,-33.51042643,-1029.6891604804966,-31.954293103670224
B,388,0,CN(C)C,1,1,CNC(c1ccccc1)C(Cl)Cl,466,10,0,0,-41.28054055,-1525.0151602112728,-43.5224492722148
B,388,0,CN(C)C,1,1,Nc1nc(=O)c(Cl)c[nH]1,474,6,0,0,-23.95626955,-1054.8799096967466,-25.62050654894963
B,388,0,CN(C)C,1,1,C=C(C)Cl,475,3,0,0,-28.16102156,-777.8651472774524,-29.443907426159743
B,388,0,CN(C)C,1,1,C=CC(=C)Cl,476,4,0,0,-38.63148655,-815.9455141823944,-40.00899104251956
B,388,0,CN(C)C,1,1,Clc1ccc(Cl)cc1,477,0,0,0,-24.1463393,-1351.8116513181567,-25.6759156951893
B,388,0,CN(C)C,1,1,O=c1ccc(Cl)c[nH]1,478,5,0,0,-23.25805031,-983.4761914757288,-24.83260485344214
B,388,0,CN(C)C,1,1,FC(F)/C=C/Cl,481,5,0,0,-25.2822398,-976.3455196440344,-26.019398389076226
B,388,0,CN(C)C,1,1,C/C=C(\Cl)c1ccccc1,484,3,0,0,-35.3819778,-1008.8777513370899,-36.970844185430394
B,388,0,CN(C)C,1,1,ClC1=CC2CCC1C2,486,0,0,0,-20.7696363,-932.6403834933222,-22.28476177919177
B,388,0,CN(C)C,1,1,ClC=C1CC1,487,0,0,0,-27.62752105,-815.9189926108436,-28.5315051426472
B,388,0,CN(C)C,1,1,CN1CN(C)C(Cl)=C1Cl,488,6,0,0,-46.64710881,-1425.5202498080184,-46.10180305686371
B,388,0,CN(C)C,1,1,C=C(F)Cl,490,3,0,0,-25.61387355,-837.8008725460011,-27.53869055031782
B,388,0,CN(C)C,1,1,ClC1C=CC2(C=C1)OCCO2,491,0,0,0,-61.03957431,-1121.1663077927446,-64.30065088892971
B,388,0,CN(C)C,1,1,CCCCl,493,3,0,0,-34.6749108,-779.0778019349204,-35.98585710601856
B,388,0,CN(C)C,1,1,CN(C)CCCl,495,5,0,1,-34.00041105,-873.6894470957812,-36.15359103672876
B,388,0,CN(C)C,1,1,CC(C)(C)CCl,497,5,0,0,-34.04069655,-857.6662206785554,-35.57615874913388
B,388,0,CN(C)C,1,1,CN(CCCl)CCCl,498,4,0,0,-35.14208455,-1372.5948198094234,-37.29084503098901
B,388,0,CN(C)C,1,1,CC1(CCl)COC1,501,3,0,0,-35.40048905,-931.6487203328322,-37.22969619701238
