B_smiles,B_Index,B_Atomid,N_smiles,N_Index,N_Atomid,Cl_smiles,Cl_Index,Cl_Atomid,B_N_Cl_conf,Cl_r_conf,deltaG_react,component_id,identifier,in_final_ts,n_hit_files,n_ts_candidate_hit_files,n_hit_full_conf_files,n_hit_component_only_files,n_hit_component_only_ts_fallback_files,n_hit_component_only_non_ts_artifact_files,n_hit_folders,has_ambiguous_component_hit,hit_match_scopes,hit_search_spaces,hit_folders,hit_suffixes,hit_paths,has_file_hit,has_ts_candidate_file_hit,has_full_conf_file_hit,has_component_only_file_hit,has_component_only_ts_fallback_hit,has_component_only_non_ts_artifact_hit
B,388,0,CCN(CC)CC,0,2,ClCN1CCCC1,500,0,1,0,-33.51042643,B_00388_Nu_00000_Cl_00500,B_00388_Nu_00000_Cl_00500_0100,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,CNC(c1ccccc1)C(Cl)Cl,466,10,0,0,-41.28054055,B_00388_Nu_00001_Cl_00466,B_00388_Nu_00001_Cl_00466_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,Nc1nc(=O)c(Cl)c[nH]1,474,6,0,0,-23.95626955,B_00388_Nu_00001_Cl_00474,B_00388_Nu_00001_Cl_00474_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,C=C(C)Cl,475,3,0,0,-28.16102156,B_00388_Nu_00001_Cl_00475,B_00388_Nu_00001_Cl_00475_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,C=CC(=C)Cl,476,4,0,0,-38.63148655,B_00388_Nu_00001_Cl_00476,B_00388_Nu_00001_Cl_00476_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,Clc1ccc(Cl)cc1,477,0,0,0,-24.1463393,B_00388_Nu_00001_Cl_00477,B_00388_Nu_00001_Cl_00477_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,O=c1ccc(Cl)c[nH]1,478,5,0,0,-23.25805031,B_00388_Nu_00001_Cl_00478,B_00388_Nu_00001_Cl_00478_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,FC(F)/C=C/Cl,481,5,0,0,-25.2822398,B_00388_Nu_00001_Cl_00481,B_00388_Nu_00001_Cl_00481_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,C/C=C(\Cl)c1ccccc1,484,3,0,0,-35.3819778,B_00388_Nu_00001_Cl_00484,B_00388_Nu_00001_Cl_00484_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,ClC1=CC2CCC1C2,486,0,0,0,-20.7696363,B_00388_Nu_00001_Cl_00486,B_00388_Nu_00001_Cl_00486_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,ClC=C1CC1,487,0,0,0,-27.62752105,B_00388_Nu_00001_Cl_00487,B_00388_Nu_00001_Cl_00487_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,CN1CN(C)C(Cl)=C1Cl,488,6,0,0,-46.64710881,B_00388_Nu_00001_Cl_00488,B_00388_Nu_00001_Cl_00488_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,C=C(F)Cl,490,3,0,0,-25.61387355,B_00388_Nu_00001_Cl_00490,B_00388_Nu_00001_Cl_00490_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,ClC1C=CC2(C=C1)OCCO2,491,0,0,0,-61.03957431,B_00388_Nu_00001_Cl_00491,B_00388_Nu_00001_Cl_00491_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,CCCCl,493,3,0,0,-34.6749108,B_00388_Nu_00001_Cl_00493,B_00388_Nu_00001_Cl_00493_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,CN(C)CCCl,495,5,0,1,-34.00041105,B_00388_Nu_00001_Cl_00495,B_00388_Nu_00001_Cl_00495_0001,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,CC(C)(C)CCl,497,5,0,0,-34.04069655,B_00388_Nu_00001_Cl_00497,B_00388_Nu_00001_Cl_00497_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,CN(CCCl)CCCl,498,4,0,0,-35.14208455,B_00388_Nu_00001_Cl_00498,B_00388_Nu_00001_Cl_00498_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,CC1(CCl)COC1,501,3,0,0,-35.40048905,B_00388_Nu_00001_Cl_00501,B_00388_Nu_00001_Cl_00501_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,CC(C)(C)Cl,506,4,0,0,-38.08907555,B_00388_Nu_00001_Cl_00506,B_00388_Nu_00001_Cl_00506_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,CC1(Cl)CCCCC1,507,2,0,0,-36.9527358,B_00388_Nu_00001_Cl_00507,B_00388_Nu_00001_Cl_00507_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,ClC12CC3CC(CC(C3)C1)C2,508,0,0,0,-30.5113228,B_00388_Nu_00001_Cl_00508,B_00388_Nu_00001_Cl_00508_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,ClC1CCCO1,517,0,0,0,-35.99950055,B_00388_Nu_00001_Cl_00517,B_00388_Nu_00001_Cl_00517_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,ClC1CCOCC1,519,0,0,0,-42.7076638,B_00388_Nu_00001_Cl_00519,B_00388_Nu_00001_Cl_00519_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,CC(N)Cl,525,3,0,0,-37.25625755,B_00388_Nu_00001_Cl_00525,B_00388_Nu_00001_Cl_00525_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,FC(Cl)C1CCCC1,529,2,0,0,-34.9241538,B_00388_Nu_00001_Cl_00529,B_00388_Nu_00001_Cl_00529_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
B,388,0,CN(C)C,1,1,O=CCCCl,550,4,0,0,-35.17509105,B_00388_Nu_00001_Cl_00550,B_00388_Nu_00001_Cl_00550_0000,True,0,0,0,0,0,0,0,False,,,,,,False,False,False,False,False,False
