identifier,component_id,match_scope,is_ts_candidate_folder,is_ts_candidate_hit,component_missing_candidates,component_match_is_ambiguous,file_identifier,search_space,folder,relative_folder,file_name,suffix,path
B_00388_Nu_00141_Cl_00504_0000,B_00388_Nu_00141_Cl_00504,full_conf,True,True,1,False,B_00388_Nu_00141_Cl_00504_0000,Sum/*,IRC_full,IRC_full,B_00388_Nu_00141_Cl_00504_0000forward.log,.log,E:\work\B_Cl_Nu\Sum\IRC_full\B_00388_Nu_00141_Cl_00504_0000forward.log
B_00388_Nu_00141_Cl_00504_0000,B_00388_Nu_00141_Cl_00504,full_conf,True,True,1,False,B_00388_Nu_00141_Cl_00504_0000,Sum/*,IRC_full,IRC_full,B_00388_Nu_00141_Cl_00504_0000reverse.log,.log,E:\work\B_Cl_Nu\Sum\IRC_full\B_00388_Nu_00141_Cl_00504_0000reverse.log
B_00388_Nu_00143_Cl_00564_0000,B_00388_Nu_00143_Cl_00564,full_conf,True,True,1,False,B_00388_Nu_00143_Cl_00564_0000,Sum/*,IRC_full,IRC_full,B_00388_Nu_00143_Cl_00564_0000forward.log,.log,E:\work\B_Cl_Nu\Sum\IRC_full\B_00388_Nu_00143_Cl_00564_0000forward.log
B_00388_Nu_00143_Cl_00564_0000,B_00388_Nu_00143_Cl_00564,full_conf,True,True,1,False,B_00388_Nu_00143_Cl_00564_0000,Sum/*,IRC_full,IRC_full,B_00388_Nu_00143_Cl_00564_0000reverse.log,.log,E:\work\B_Cl_Nu\Sum\IRC_full\B_00388_Nu_00143_Cl_00564_0000reverse.log
B_00388_Nu_00184_Cl_00499_0000,B_00388_Nu_00184_Cl_00499,full_conf,True,True,1,False,B_00388_Nu_00184_Cl_00499_0000,Sum/*,IRC_full,IRC_full,B_00388_Nu_00184_Cl_00499_0000forward.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00388_Nu_00184_Cl_00499_0000forward.gjf
B_00388_Nu_00184_Cl_00499_0000,B_00388_Nu_00184_Cl_00499,full_conf,True,True,1,False,B_00388_Nu_00184_Cl_00499_0000,Sum/*,IRC_full,IRC_full,B_00388_Nu_00184_Cl_00499_0000reverse.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00388_Nu_00184_Cl_00499_0000reverse.gjf
B_00388_Nu_00184_Cl_00563_0000,B_00388_Nu_00184_Cl_00563,full_conf,True,True,1,False,B_00388_Nu_00184_Cl_00563_0000,Sum/*,IRC_full,IRC_full,B_00388_Nu_00184_Cl_00563_0000forward.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00388_Nu_00184_Cl_00563_0000forward.gjf
B_00388_Nu_00184_Cl_00563_0000,B_00388_Nu_00184_Cl_00563,full_conf,True,True,1,False,B_00388_Nu_00184_Cl_00563_0000,Sum/*,IRC_full,IRC_full,B_00388_Nu_00184_Cl_00563_0000reverse.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00388_Nu_00184_Cl_00563_0000reverse.gjf
B_00388_Nu_00301_Cl_00592_0000,B_00388_Nu_00301_Cl_00592,full_conf,True,True,1,False,B_00388_Nu_00301_Cl_00592_0000,Sum/*,IRC_full,IRC_full,B_00388_Nu_00301_Cl_00592_0000forward.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00388_Nu_00301_Cl_00592_0000forward.gjf
B_00388_Nu_00301_Cl_00592_0000,B_00388_Nu_00301_Cl_00592,full_conf,True,True,1,False,B_00388_Nu_00301_Cl_00592_0000,Sum/*,IRC_full,IRC_full,B_00388_Nu_00301_Cl_00592_0000reverse.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00388_Nu_00301_Cl_00592_0000reverse.gjf
