search_space,relative_folder,matched_identifiers,ts_candidate_identifiers,full_conf_identifiers,component_inferred_identifiers,component_ts_fallback_identifiers,component_non_ts_artifact_identifiers,ambiguous_component_identifiers,matched_components,matched_files,example_identifiers
Data/first_10000/*,OM,2143,2143,2143,0,0,0,0,2143,4286,"B_00388_Nu_00001_Cl_00443_0000, B_00388_Nu_00001_Cl_00444_0000, B_00388_Nu_00001_Cl_00445_0000, B_00388_Nu_00001_Cl_00446_0000, B_00388_Nu_00001_Cl_00447_0000"
Data/first_10000/*,TS,2142,2142,2142,0,0,0,0,2142,2146,"B_00388_Nu_00001_Cl_00443_0000, B_00388_Nu_00001_Cl_00444_0000, B_00388_Nu_00001_Cl_00445_0000, B_00388_Nu_00001_Cl_00446_0000, B_00388_Nu_00001_Cl_00447_0000"
Y backup Data/*/*,first_10000/TS,2142,2142,2142,0,0,0,0,2142,2146,"B_00388_Nu_00001_Cl_00443_0000, B_00388_Nu_00001_Cl_00444_0000, B_00388_Nu_00001_Cl_00445_0000, B_00388_Nu_00001_Cl_00446_0000, B_00388_Nu_00001_Cl_00447_0000"
Sum/*,TS_ENG,208,208,202,17,17,0,0,208,222,"B_00388_Nu_00141_Cl_00504_0000, B_00388_Nu_00143_Cl_00475_0000, B_00388_Nu_00143_Cl_00487_0000, B_00388_Nu_00143_Cl_00554_0000, B_00388_Nu_00143_Cl_00564_0000"
Y backup Sum/*,TS_ENG,208,208,202,17,17,0,0,208,222,"B_00388_Nu_00141_Cl_00504_0000, B_00388_Nu_00143_Cl_00475_0000, B_00388_Nu_00143_Cl_00487_0000, B_00388_Nu_00143_Cl_00554_0000, B_00388_Nu_00143_Cl_00564_0000"
Y backup Sum/*,TS_needIRC,171,171,168,3,3,0,0,171,171,"B_00388_Nu_00141_Cl_00504_0000, B_00388_Nu_00143_Cl_00475_0000, B_00388_Nu_00143_Cl_00554_0000, B_00388_Nu_00143_Cl_00564_0000, B_00388_Nu_00143_Cl_00603_0000"
Sum/*,IRC_full,155,155,153,2,2,0,0,155,313,"B_00388_Nu_00141_Cl_00504_0000, B_00388_Nu_00143_Cl_00564_0000, B_00388_Nu_00184_Cl_00499_0000, B_00388_Nu_00184_Cl_00563_0000, B_00388_Nu_00301_Cl_00592_0000"
Sum/*,OtherIRCs,149,149,148,1,1,0,0,149,298,"B_00388_Nu_00001_Cl_00483_0000, B_00388_Nu_00031_Cl_00462_0000, B_00388_Nu_00033_Cl_00483_0000, B_00388_Nu_00057_Cl_00483_0000, B_00388_Nu_00064_Cl_00483_0000"
Data/first_10000/*,IRC,130,130,130,0,0,0,0,130,520,"B_00388_Nu_00001_Cl_00483_0000, B_00388_Nu_00031_Cl_00462_0000, B_00388_Nu_00033_Cl_00483_0000, B_00388_Nu_00057_Cl_00483_0000, B_00388_Nu_00064_Cl_00483_0000"
Y backup Data/*/*,first_10000/IRC,130,130,130,0,0,0,0,130,520,"B_00388_Nu_00001_Cl_00483_0000, B_00388_Nu_00031_Cl_00462_0000, B_00388_Nu_00033_Cl_00483_0000, B_00388_Nu_00057_Cl_00483_0000, B_00388_Nu_00064_Cl_00483_0000"
Data/first_10000/*,TS_ENG,129,129,129,0,0,0,0,129,258,"B_00388_Nu_00001_Cl_00483_0000, B_00388_Nu_00031_Cl_00462_0000, B_00388_Nu_00033_Cl_00483_0000, B_00388_Nu_00057_Cl_00483_0000, B_00388_Nu_00064_Cl_00483_0000"
Y backup Data/*/*,first_10000/TS_ENG,129,129,129,0,0,0,0,129,258,"B_00388_Nu_00001_Cl_00483_0000, B_00388_Nu_00031_Cl_00462_0000, B_00388_Nu_00033_Cl_00483_0000, B_00388_Nu_00057_Cl_00483_0000, B_00388_Nu_00064_Cl_00483_0000"
Data/first_10000/*,ts_irc_fail_new,128,128,128,0,0,0,0,128,128,"B_00388_Nu_00001_Cl_00483_0000, B_00388_Nu_00031_Cl_00462_0000, B_00388_Nu_00033_Cl_00483_0000, B_00388_Nu_00057_Cl_00483_0000, B_00388_Nu_00064_Cl_00483_0000"
Y backup Data/*/*,first_10000/ts_irc_fail_new,128,128,128,0,0,0,0,128,128,"B_00388_Nu_00001_Cl_00483_0000, B_00388_Nu_00031_Cl_00462_0000, B_00388_Nu_00033_Cl_00483_0000, B_00388_Nu_00057_Cl_00483_0000, B_00388_Nu_00064_Cl_00483_0000"
Y backup Sum/*,IRC_full3,86,86,86,0,0,0,0,86,134,"B_00388_Nu_00184_Cl_00563_0000, B_00388_Nu_00301_Cl_00592_0000, B_00388_Nu_00343_Cl_00596_0000, B_00388_Nu_00361_Cl_00452_0000, B_00389_Nu_00334_Cl_00499_0000"
Data/first_10000/*,ts_dead,79,79,79,0,0,0,0,79,79,"B_00388_Nu_00001_Cl_00456_0001, B_00388_Nu_00001_Cl_00479_0000, B_00388_Nu_00001_Cl_00618_0000, B_00388_Nu_00002_Cl_00483_0000, B_00388_Nu_00026_Cl_00485_0000"
Y backup Data/*/*,first_10000/ts_dead,79,79,79,0,0,0,0,79,79,"B_00388_Nu_00001_Cl_00456_0001, B_00388_Nu_00001_Cl_00479_0000, B_00388_Nu_00001_Cl_00618_0000, B_00388_Nu_00002_Cl_00483_0000, B_00388_Nu_00026_Cl_00485_0000"
Y backup Sum/*,IRC_full4,71,71,70,1,1,0,0,71,206,"B_00388_Nu_00184_Cl_00499_0000, B_00388_Nu_00184_Cl_00563_0000, B_00388_Nu_00301_Cl_00592_0000, B_00388_Nu_00361_Cl_00452_0000, B_00389_Nu_00317_Cl_00604_0000"
