B_smiles,B_Index,B_Atomid,N_smiles,N_Index,N_Atomid,Cl_smiles,Cl_Index,Cl_Atomid,B_N_Cl_conf,Cl_r_conf,deltaG_react,component_id,identifier,missing_identifiers_for_component,n_hit_files,n_ts_candidate_hit_files,n_hit_full_conf_files,n_hit_component_only_files,n_hit_component_only_ts_fallback_files,n_hit_component_only_non_ts_artifact_files,n_hit_folders,has_ambiguous_component_hit,hit_match_scopes,hit_search_spaces,hit_folders,hit_suffixes,hit_paths,has_file_hit,has_ts_candidate_file_hit,has_full_conf_file_hit,has_component_only_file_hit,has_component_only_ts_fallback_hit,has_component_only_non_ts_artifact_hit
B,388,0,CCN(CC)CC,0,2,ClCCl,462,0,1,0,-36.72060975,B_00388_Nu_00000_Cl_00462,B_00388_Nu_00000_Cl_00462_0100,1,1,0,0,1,0,1,1,False,component_only,Data/first_10000/*,Mols,.mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00388_Nu_00000_Cl_00462.mol,True,False,False,True,False,True
B,388,0,CCN(CC)CC,0,2,ClC(Cl)c1ncncn1,463,0,1,0,-50.28063375,B_00388_Nu_00000_Cl_00463,B_00388_Nu_00000_Cl_00463_0100,1,1,0,0,1,0,1,1,False,component_only,Data/first_10000/*,Mols,.mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00388_Nu_00000_Cl_00463.mol,True,False,False,True,False,True
B,388,0,CN(C)C,1,1,CC(=O)C(Cl)(Cl)Cl,443,4,0,0,-59.7882,B_00388_Nu_00001_Cl_00443,B_00388_Nu_00001_Cl_00443_0000,1,5,4,4,1,0,1,4,False,component_only | full_conf,Data/first_10000/* | Y backup Data/*/*,Mols | OM | TS | first_10000/TS,.gjf | .log | .mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00388_Nu_00001_Cl_00443.mol | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00388_Nu_00001_Cl_00443_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00388_Nu_00001_Cl_00443_0000.log | E:\work\B_Cl_Nu\Data\first_10000\TS\B_00388_Nu_00001_Cl_00443_0000.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS\B_00388_Nu_00001_Cl_00443_0000.gjf,True,True,True,True,False,True
B,388,0,CN(C)C,1,1,O=C(Nc1ccccc1)C(Cl)(Cl)Cl,444,10,0,0,-58.34074575,B_00388_Nu_00001_Cl_00444,B_00388_Nu_00001_Cl_00444_0000,1,5,4,4,1,0,1,4,False,component_only | full_conf,Data/first_10000/* | Y backup Data/*/*,Mols | OM | TS | first_10000/TS,.gjf | .log | .mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00388_Nu_00001_Cl_00444.mol | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00388_Nu_00001_Cl_00444_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00388_Nu_00001_Cl_00444_0000.log | E:\work\B_Cl_Nu\Data\first_10000\TS\B_00388_Nu_00001_Cl_00444_0000.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS\B_00388_Nu_00001_Cl_00444_0000.gjf,True,True,True,True,False,True
B,388,0,CN(C)C,1,1,O=C=NC(=O)C(Cl)(Cl)Cl,445,6,0,0,-61.2052205,B_00388_Nu_00001_Cl_00445,B_00388_Nu_00001_Cl_00445_0000,1,5,4,4,1,0,1,4,False,component_only | full_conf,Data/first_10000/* | Y backup Data/*/*,Mols | OM | TS | first_10000/TS,.gjf | .log | .mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00388_Nu_00001_Cl_00445.mol | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00388_Nu_00001_Cl_00445_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00388_Nu_00001_Cl_00445_0000.log | E:\work\B_Cl_Nu\Data\first_10000\TS\B_00388_Nu_00001_Cl_00445_0000.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS\B_00388_Nu_00001_Cl_00445_0000.gjf,True,True,True,True,False,True
B,388,0,CN(C)C,1,1,ClC(Cl)(Cl)c1ncccn1,446,0,0,0,-60.4251125,B_00388_Nu_00001_Cl_00446,B_00388_Nu_00001_Cl_00446_0000,1,5,4,4,1,0,1,4,False,component_only | full_conf,Data/first_10000/* | Y backup Data/*/*,Mols | OM | TS | first_10000/TS,.gjf | .log | .mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00388_Nu_00001_Cl_00446.mol | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00388_Nu_00001_Cl_00446_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00388_Nu_00001_Cl_00446_0000.log | E:\work\B_Cl_Nu\Data\first_10000\TS\B_00388_Nu_00001_Cl_00446_0000.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS\B_00388_Nu_00001_Cl_00446_0000.gjf,True,True,True,True,False,True
B,388,0,CN(C)C,1,1,ClC(Cl)(Cl)c1ccccc1,447,0,0,0,-59.90033425,B_00388_Nu_00001_Cl_00447,B_00388_Nu_00001_Cl_00447_0000,1,5,4,4,1,0,1,4,False,component_only | full_conf,Data/first_10000/* | Y backup Data/*/*,Mols | OM | TS | first_10000/TS,.gjf | .log | .mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00388_Nu_00001_Cl_00447.mol | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00388_Nu_00001_Cl_00447_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00388_Nu_00001_Cl_00447_0000.log | E:\work\B_Cl_Nu\Data\first_10000\TS\B_00388_Nu_00001_Cl_00447_0000.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS\B_00388_Nu_00001_Cl_00447_0000.gjf,True,True,True,True,False,True
B,388,0,CN(C)C,1,1,O=C(c1ccccc1)C(Cl)(Cl)Cl,448,9,0,0,-60.214147,B_00388_Nu_00001_Cl_00448,B_00388_Nu_00001_Cl_00448_0000,1,5,4,4,1,0,1,4,False,component_only | full_conf,Data/first_10000/* | Y backup Data/*/*,Mols | OM | TS | first_10000/TS,.gjf | .log | .mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00388_Nu_00001_Cl_00448.mol | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00388_Nu_00001_Cl_00448_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00388_Nu_00001_Cl_00448_0000.log | E:\work\B_Cl_Nu\Data\first_10000\TS\B_00388_Nu_00001_Cl_00448_0000.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS\B_00388_Nu_00001_Cl_00448_0000.gjf,True,True,True,True,False,True
B,388,0,CN(C)C,1,1,COC(=O)C(Cl)(Cl)Cl,449,5,0,0,-59.092177,B_00388_Nu_00001_Cl_00449,B_00388_Nu_00001_Cl_00449_0000,1,5,4,4,1,0,1,4,False,component_only | full_conf,Data/first_10000/* | Y backup Data/*/*,Mols | OM | TS | first_10000/TS,.gjf | .log | .mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00388_Nu_00001_Cl_00449.mol | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00388_Nu_00001_Cl_00449_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00388_Nu_00001_Cl_00449_0000.log | E:\work\B_Cl_Nu\Data\first_10000\TS\B_00388_Nu_00001_Cl_00449_0000.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS\B_00388_Nu_00001_Cl_00449_0000.gjf,True,True,True,True,False,True
B,388,0,CN(C)C,1,1,COC(C(Cl)(Cl)Cl)P(=O)(OC)OC,450,4,0,0,-54.34482575,B_00388_Nu_00001_Cl_00450,B_00388_Nu_00001_Cl_00450_0000,1,5,4,4,1,0,1,4,False,component_only | full_conf,Data/first_10000/* | Y backup Data/*/*,Mols | OM | TS | first_10000/TS,.gjf | .log | .mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00388_Nu_00001_Cl_00450.mol | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00388_Nu_00001_Cl_00450_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00388_Nu_00001_Cl_00450_0000.log | E:\work\B_Cl_Nu\Data\first_10000\TS\B_00388_Nu_00001_Cl_00450_0000.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS\B_00388_Nu_00001_Cl_00450_0000.gjf,True,True,True,True,False,True
