key,B_id,LB_id,Cl_id,barrier_kcal,delta_g_rxn_kcal,B_map,Cl_map,C_map,map_order_ok,center_candidate_count,endpoint_status,selected_endpoint,reactant_B_Cl_A,reactant_C_Cl_A,forward_B_Cl_A,forward_C_Cl_A,reverse_B_Cl_A,reverse_C_Cl_A,min_interfragment_distance_all_A,min_pair_all,min_interfragment_distance_heavy_A,min_pair_heavy,min_vdw_ratio,min_vdw_pair,precomplex_by_heavy_distance,precomplex_by_vdw_ratio
B_00388_LB_00000_Cl_00500,388,0,500,15.690109534222517,-33.510925877808965,1,2,27,True,1,threshold,reverse,3.9386388131614707,2.0232840765006284,1.896856984822261,3.679040227197713,3.9386388131614707,2.0232840765006284,2.6836627746715864,H19--H38,3.7428839556414246,C6--Cl2,0.9383868766899525,H15--Cl2,False,True
B_00388_LB_00001_Cl_00466,388,1,466,9.890545854483209,-41.28149532677975,1,2,27,True,1,threshold,reverse,3.9389068917699745,1.811390021728617,1.8788182371190143,2.912100095912398,3.9389068917699745,1.811390021728617,2.4119031782119693,H15--H32,3.483176968230871,B1--N19,0.8232667405149889,B1--H32,True,True
B_00388_LB_00001_Cl_00474,388,1,474,12.494143446280251,-23.95666209666822,1,2,23,True,1,threshold,reverse,3.231691581330743,1.7544305198120558,1.8930135611080552,3.234772260560239,3.231691581330743,1.7544305198120558,2.640119343240756,H10--O22,3.231691581330743,B1--Cl2,0.8805699131691399,B1--Cl2,True,True
B_00388_LB_00001_Cl_00475,388,1,475,14.914508410183213,-28.161474403781803,1,2,19,True,1,threshold,reverse,3.4449009782088074,1.787978755002419,1.8906244006964998,3.447871015030725,3.4449009782088074,1.787978755002419,2.9475539416943666,H14--Cl2,3.4449009782088074,B1--Cl2,0.9386651166781491,B1--Cl2,True,True
B_00388_LB_00001_Cl_00476,388,1,476,14.312727279204436,-38.632089577813005,1,2,20,True,1,threshold,reverse,3.3319118312983615,1.7898831001448112,1.8900995716268494,3.289346835093709,3.3319118312983615,1.7898831001448112,2.948198902886473,H10--Cl2,3.3319118312983615,B1--Cl2,0.9078778831875645,B1--Cl2,True,True
B_00388_LB_00001_Cl_00477,388,1,477,13.046916124361488,-24.146985576322873,1,2,18,True,1,threshold,reverse,3.2196069658015714,1.782537781340132,1.897867194781026,3.2789463716886256,3.2196069658015714,1.782537781340132,2.9936971926646154,H10--Cl2,3.2196069658015714,B1--Cl2,0.8772771023982483,B1--Cl2,True,True
B_00388_LB_00001_Cl_00478,388,1,478,12.189738830385467,-23.25843283228339,1,2,22,True,1,threshold,reverse,3.19326237972156,1.7750506729000723,1.8943153456660797,3.290156738202756,3.19326237972156,1.7750506729000723,2.9268758689896637,H9--Cl2,3.19326237972156,B1--Cl2,0.8700987410685449,B1--Cl2,True,True
B_00388_LB_00001_Cl_00481,388,1,481,12.234731225707417,-25.28265136448064,1,2,22,True,1,threshold,reverse,3.224065773476869,1.7579126085221075,1.892843455926031,3.4156275071374513,3.224065773476869,1.7579126085221075,2.9695168091603725,H9--Cl2,3.224065773476869,B1--Cl2,0.8784920363697192,B1--Cl2,True,True
B_00388_LB_00001_Cl_00484,388,1,484,13.044217835661167,-35.38253422134897,1,2,20,True,1,threshold,reverse,3.186054320235297,1.8032868603821743,1.8830244945485972,3.3363277553758115,3.186054320235297,1.8032868603821743,2.7271481952453556,H10--H35,3.186054320235297,B1--Cl2,0.8681346921622063,B1--Cl2,True,True
B_00388_LB_00001_Cl_00486,388,1,486,17.1250971154093,-20.769983141945314,1,2,18,True,1,threshold,reverse,3.4597314665992505,1.7486906348176627,1.8901116328391825,3.5890620130195576,3.4597314665992505,1.7486906348176627,2.959856221292852,H9--Cl2,3.4597314665992505,B1--Cl2,0.9427061216891691,B1--Cl2,True,True
B_00388_LB_00001_Cl_00487,388,1,487,14.823080348907164,-27.627966252016137,1,2,18,True,1,threshold,reverse,3.3982454433856013,1.7715764173382418,1.8893607401052348,3.603315137987934,3.3982454433856013,1.7715764173382418,2.907672687765423,H9--Cl2,3.3982454433856013,B1--Cl2,0.9259524368898097,B1--Cl2,True,True
B_00388_LB_00001_Cl_00488,388,1,488,12.816620321300872,-46.647889543835475,1,2,23,True,1,threshold,reverse,3.188434391498279,1.7474438227036084,1.8567836559946882,3.2752494159892613,3.188434391498279,1.7474438227036084,2.8934104080373735,H13--Cl2,3.188434391498279,B1--Cl2,0.8687832129423104,B1--Cl2,True,True
B_00388_LB_00001_Cl_00490,388,1,490,11.92047471854464,-25.614289871035073,1,2,19,True,1,threshold,reverse,3.0990603067318645,1.767244220818956,1.8962015228010445,3.2959636154898617,3.0990603067318645,1.767244220818956,2.9709853195527574,H15--Cl2,3.0990603067318645,B1--Cl2,0.8444306012893364,B1--Cl2,True,True
B_00388_LB_00001_Cl_00491,388,1,491,9.493332657415984,-61.04049871868804,1,2,18,True,1,threshold,reverse,4.69907094909398,1.868551465034346,1.9055468535530686,3.282046083997603,4.69907094909398,1.868551465034346,2.5020015117105743,H14--O27,3.4968038202113942,C7--O27,0.9198534969524171,H14--O27,True,True
B_00388_LB_00001_Cl_00493,388,1,493,14.2743864793513,-34.675457080107876,1,2,20,True,1,threshold,reverse,3.4389402770721387,1.8498413360293904,1.883422613031393,3.4905388686626884,3.4389402770721387,1.8498413360293904,2.8669892426064316,H14--Cl2,3.4389402770721387,B1--Cl2,0.9370409474311004,B1--Cl2,True,True
B_00388_LB_00001_Cl_00495,388,1,495,13.804068483790296,-34.00094765597729,1,2,22,True,1,threshold,reverse,3.4123570517568935,1.834586840993361,1.8987166762974406,3.4254091401988758,3.4123570517568935,1.834586840993361,2.920069931558147,H12--Cl2,3.4123570517568935,B1--Cl2,0.9297975617866195,B1--Cl2,True,True
B_00388_LB_00001_Cl_00497,388,1,497,14.429883209486869,-34.041233733846795,1,2,22,True,1,threshold,reverse,3.553185925097785,1.8377836046167133,1.8894525364435595,3.51143265065557,3.553185925097785,1.8377836046167133,2.827596143570188,H15--H26,3.553185925097785,B1--Cl2,0.9681705517977616,B1--Cl2,False,True
B_00388_LB_00001_Cl_00498,388,1,498,13.343727881396845,-35.1425120287059,1,2,21,True,1,threshold,reverse,3.2950227823256397,1.8507236200518975,1.9021570917171904,3.2188627067655435,3.2950227823256397,1.8507236200518975,2.501400499433067,H14--H33,3.2950227823256397,B1--Cl2,0.8978263712058964,B1--Cl2,True,True
B_00388_LB_00001_Cl_00501,388,1,501,12.924740122091729,-35.40104573676656,1,2,20,True,1,threshold,reverse,3.3885624675807584,1.8367135579523555,1.8930198830741318,3.4049739000159756,3.3885624675807584,1.8367135579523555,2.8073971793775456,H14--Cl2,3.3885624675807584,B1--Cl2,0.9233140238639669,B1--Cl2,True,True
B_00388_LB_00001_Cl_00506,388,1,506,13.15258863996578,-38.08967079824129,1,2,19,True,1,threshold,reverse,3.4043489019564372,1.8819395412076871,1.8943954602104598,3.277953120894349,3.4043489019564372,1.8819395412076871,2.8834162406600266,H12--Cl2,3.4043489019564372,B1--Cl2,0.9276155046202826,B1--Cl2,True,True
B_00388_LB_00001_Cl_00507,388,1,507,13.238557372962749,-36.953314750063996,1,2,19,True,1,threshold,reverse,3.505051371154066,1.8809445767204307,1.8914283641473182,3.394280248405691,3.505051371154066,1.8809445767204307,2.865959514603966,H9--Cl2,3.505051371154066,B1--Cl2,0.9550548695242687,B1--Cl2,False,True
B_00388_LB_00001_Cl_00508,388,1,508,15.000288890544864,-30.51180936330463,1,2,18,True,1,threshold,reverse,3.648340653165491,1.852852229374755,1.8879435933708397,3.6743234868979626,3.648340653165491,1.852852229374755,2.7313759666763198,H14--Cl2,3.648340653165491,B1--Cl2,0.9258901581953626,H14--Cl2,False,True
B_00388_LB_00001_Cl_00517,388,1,517,12.85753390816879,-36.000065828237915,1,2,18,True,1,threshold,reverse,3.60839675256117,1.9126356736937642,1.8938991019613478,3.4531190738503357,3.60839675256117,1.9126356736937642,2.8819411920580547,H17--Cl2,3.60839675256117,B1--Cl2,0.9769292176467981,H17--Cl2,False,True
B_00388_LB_00001_Cl_00519,388,1,519,5.818890957004653,-42.70826253996601,1,2,18,True,1,threshold,reverse,3.5452094491290636,1.8432529777738051,1.8871346198204835,3.3726752118997467,3.5452094491290636,1.8432529777738051,2.832588959443463,H17--Cl2,3.5452094491290636,B1--Cl2,0.9601996472689703,H17--Cl2,False,True
B_00388_LB_00001_Cl_00525,388,1,525,13.47374774618247,-37.256840853446604,1,2,19,True,1,threshold,reverse,3.7732337362576676,1.963611867761549,1.8796765494579115,3.5056157595945967,3.7732337362576676,1.963611867761549,2.861078755952726,H14--Cl2,3.7732337362576676,B1--Cl2,0.9698572054077037,H14--Cl2,False,True
