group_column,group,n
LB_scaffold,c1ccncc1,1268
LB_scaffold,c1ccnnc1,701
LB_scaffold,c1cncnc1,685
LB_scaffold,c1ncncn1,620
LB_scaffold,acyclic:N#CP(C#N)C#N,521
LB_scaffold,c1cnccn1,421
LB_scaffold,C1CCNCC1,194
LB_scaffold,c1ccccc1,171
LB_scaffold,[C]1NCCN1,167
LB_scaffold,c1ccc(P(c2ccccc2)c2ccccc2)cc1,156
LB_scaffold,[C]1NC=CN1,135
LB_scaffold,c1cn[nH]c1,127
LB_scaffold,c1cscn1,127
LB_scaffold,O=C1N[C]NC1=O,126
LB_scaffold,O=C1N[C]NC(=O)c2ccccc21,109
LB_scaffold,acyclic:FP(F)F,104
LB_scaffold,[C]1N2C=CC=CC2=C2C=CC=CN12,80
LB_scaffold,[C]1Nc2nccnc2N1,77
LB_scaffold,c1cocn1,75
LB_scaffold,O=C1OC(=O)c2ncccc21,70
LB_scaffold,acyclic:CSP(SC)SC,62
LB_scaffold,c1ccc2ncccc2c1,62
LB_scaffold,acyclic:CN(C)C,61
LB_scaffold,c1ccc2nccnc2c1,61
LB_scaffold,c1cnoc1,61
LB_scaffold,O=C1N[C]Nc2ccccc21,55
LB_scaffold,acyclic:CN(C)CCO,55
LB_scaffold,c1ccc(Pc2ccccc2)cc1,54
LB_scaffold,C1CCCCC1,54
LB_scaffold,c1c[nH]cn1,52
LB_scaffold,O=c1oc2nccnc2o1,52
LB_scaffold,C1COCCN1,52
LB_scaffold,[C]1NC=NN1,49
LB_scaffold,c1ccc2cnncc2c1,49
LB_scaffold,c1ccc2ocnc2c1,47
LB_scaffold,acyclic:CC(C)(C)P(C(C)(C)C)C(C)(C)C,46
LB_scaffold,O=C1C=CC(=O)C2=C1N[C]N2,44
LB_scaffold,C1CCN2CCCCC2C1,42
LB_scaffold,O=C1CN[C]N1,39
LB_scaffold,acyclic:COP(OC)OC,37
LB_scaffold,acyclic:CP(C(C)(C)C)C(C)(C)C,37
LB_scaffold,acyclic:CCP(CC)CC,37
LB_scaffold,c1cc[nH]c1,36
LB_scaffold,acyclic:CC(=O)CN(C)C,35
LB_scaffold,C1CN2CCC1CC2,33
LB_scaffold,C1COPO1,32
LB_scaffold,C1CCC(PC2CCCCC2)CC1,32
LB_scaffold,O=C1CC(=O)N[C]N1,32
LB_scaffold,[C]1NCCS1,31
LB_scaffold,acyclic:CN(C)CC#N,31
LB_scaffold,acyclic:C=CCOP(OCC=C)OCC=C,30
LB_scaffold,acyclic:C=CCN(C)CC=C,30
