Smiles,Index,Atomid,E_energy_r,G_energy_r,conf_idxs_r,error_reason_r,Avaliable,G_energy_r_qharm
B,388,0,-25.9275048331,-25.9318348331,0,,2,-25.93987626410927
BC#N,389,0,-118.18239512,-118.18950512,0,,2,-118.21386760143183
BF,390,0,-125.249797714,-125.260722714,0,,1,-125.26132915460926
BC#C,391,0,-102.094771624,-102.092049624,0,,0,-102.1164410893855
BC,392,0,-65.2637083631,-65.2430123631,0,,0,-65.25464310027574
BOC,393,0,-140.525415582,-140.498235582,0,,0,-140.5149433274715
Bc1ccccc1,394,0,-256.983118048,-256.912120048,0,,2,-256.97165126283625
BN(C)C,395,0,-159.967967658,-159.90129465799998,0,,0,-159.92739314899535
BOC(C)=O,396,0,-253.873714542,-253.841771542,0,,1,-253.86488709821407
BC=C,397,0,-103.340900331,-103.316976331,0,,0,-103.33790210515332
BC(C)C,398,0,-143.885746864,-143.811362864,0,,0,-143.83584053392312
B1CCCO1,399,0,-217.962703979,-217.899121979,0,,0,-217.92619087502862
B1OCCO1,400,0,-253.905304429,-253.865615429,0,,0,-253.88988738655036
B1C=CC=C1,401,0,-179.524519606,-179.486146606,0,,0,-179.52227643178725
CBC#N,402,1,-157.520834201,-157.503385201,0,,0,-157.53107568681293
CBC,403,1,-104.598412926,-104.551522926,0,,0,-104.56653080838025
CBOC,404,1,-179.857770542,-179.805389542,0,,0,-179.82470707744403
B1CCCCC1,405,0,-221.328889387,-221.216227387,0,,1,-221.2511314382311
Bc1ccc(OC)cc1,406,0,-371.507964993,-371.406905993,0,,1,-371.4755220009393
BC(C)(C)C,407,0,-183.198824917,-183.097855917,0,,0,-183.12894801732776
CBc1ccccc1,408,1,-296.316919754,-296.22120675400004,0,,0,-296.28270697094035
FBF,409,1,-224.569012747,-224.586648747,0,,0,-224.58048140363874
FBc1ccccc1,410,1,-356.303494964,-356.239147964,0,,0,-356.29059698744663
B1c2ccccc2-c2ccccc21,411,0,-486.823325506,-486.695108506,0,,0,-486.81011057539985
BC1CC1,412,0,-142.650823922,-142.596460922,0,,0,-142.62098724061437
B1C2CCCC1CCC2,413,0,-338.048849098,-337.871484098,0,,0,-337.9272026748753
CC(C)BC(C)C,414,3,-261.842871266,-261.688873266,0,,0,-261.72844200113525
B[Si](C)(C)C,415,0,-434.610778858,-434.523066858,0,,0,-434.54841781191976
BCC=C,416,0,-142.649186269,-142.59836626900002,0,,1,-142.62374384430677
Bc1c(F)c(F)c(F)c(F)c1F,417,0,-753.152288314,-753.128723314,0,,1,-753.1502603618612
BSC,418,0,-463.49715946,-463.47654346,0,,0,-463.4860079822505
Bn1cccc1,419,0,-234.945068479,-234.889968479,0,,0,-234.93359590698907
Bc1nccs1,420,0,-593.797790551,-593.772092551,0,,0,-593.8104559258221
BC(=O)OC,421,0,-253.812094409,-253.779809409,0,,1,-253.80355545046115
COBc1c(F)c(F)c(F)c(F)c1F,422,2,-867.74624484,-867.69256384,0,,0,-867.7200806069318
N#CBC#N,423,2,-210.427413772,-210.437346772,0,,2,-210.4800495695322
CC(=O)OBC#N,424,4,-346.119865819,-346.090568819,0,,0,-346.1308661163903
BOc1ccccc1,425,0,-332.246827242,-332.172806242,0,,0,-332.23443536370763
BC1CCCC1,426,0,-221.301830379,-221.191515379,0,,2,-221.22846986103545
BC(=C)C,427,0,-142.654113932,-142.604449932,0,,0,-142.6331837413619
Bc1ccc(N(C)C)cc1,428,0,-390.955672801,-390.816187801,0,,0,-390.8950041487496
Bc1nc(F)c(F)c(F)n1,429,0,-586.773777028,-586.756211028,0,,1,-586.7879245336377
BC(C)(F)F,430,0,-303.059037796,-303.029402796,0,,0,-303.02902603543424
BC(F)(F)c1ccccc1,431,0,-494.773348853,-494.695214853,0,,0,-494.7432581188251
Bc1cccc2ccccc12,432,0,-410.609466659,-410.495155659,0,,0,-410.5945890727066
CCBCC,433,2,-183.220068729,-183.121369729,0,,0,-183.14695315198543
CN(C)BC#N,434,3,-252.224570414,-252.160888414,0,,0,-252.20326763999924
BCC,435,0,-104.574677943,-104.527433943,0,,2,-104.545390370667
CN1BN(C)CC1,436,2,-292.767636457,-292.650870457,0,,0,-292.6942706369764
N#CBF,437,2,-217.492654699,-217.506531699,0,,0,-217.52472018528152
B(c1ccccc1)c1ccccc1,438,0,-488.036284941,-487.890145941,0,,0,-487.99938504403025
BC(F)(F)F,439,0,-362.988848613,-362.994942613,0,,1,-362.98334060116997
C=CBC,440,2,-142.677800054,-142.628266054,0,,0,-142.65250885635277
COBC#N,441,2,-232.776554736,-232.752571736,0,,0,-232.78506981311625
CBF,442,1,-164.586517855,-164.572907855,0,,0,-164.57540470743365
