Smiles,Index,Atomid,E_energy_r,G_energy_r,conf_idxs_r,E_energy_p,G_energy_p,conf_idxs_p,deltaE_react,deltaG_react,BDE_G,Experiment
CC(=O)C(Cl)(Cl)Cl,443,4,-1571.951534,-1571.929248,0,-1111.709415,-1111.687903,0,460.2421196,460.2413456,48.605899,0
O=C(Nc1ccccc1)C(Cl)(Cl)Cl,444,10,-1819.039949,-1818.952891,0,-1358.794518,-1358.709239,0,460.2454313,460.2436523,50.05335325,0
O=C=NC(=O)C(Cl)(Cl)Cl,445,6,-1700.108098,-1700.112832,0,-1239.868429,-1239.873745,0,460.2396694,460.2390874,47.1888785,0
ClC(Cl)(Cl)c1ncccn1,446,0,-1682.418056,-1682.378298,0,-1222.177396,-1222.137967,0,460.2406596,460.2403306,47.9689865,0
ClC(Cl)(Cl)c1ccccc1,447,0,-1650.346802,-1650.282938,0,-1190.104667,-1190.041771,0,460.2421349,460.2411669,48.49376475,0
O=C(c1ccccc1)C(Cl)(Cl)Cl,448,9,-1763.663592,-1763.592203,0,-1303.421427,-1303.351536,0,460.2421648,460.2406668,48.179952,0
COC(=O)C(Cl)(Cl)Cl,449,5,-1647.17527,-1647.149518,0,-1186.932224,-1186.907063,0,460.2430458,460.2424548,49.301922,0
COC(C(Cl)(Cl)Cl)P(=O)(OC)OC,450,4,-2219.446997,-2219.330779,0,-1759.193906,-1759.080759,0,460.2530913,460.2500203,54.04927325,0
ClC(Cl)(Cl)C(c1ccccc1)c1ccccc1,451,0,-1920.69265,-1920.526408,0,-1460.438295,-1460.275376,1,460.254355,460.251032,54.684115,0
COC(C)(C)C(Cl)(Cl)Cl,452,6,-1651.777133,-1651.677743,0,-1191.523769,-1191.425866,0,460.2533641,460.2518771,55.21441525,0
FC(Cl)(Cl)Cl,453,2,-1518.553395,-1518.572387,0,-1058.290855,-1058.311076,0,460.2625402,460.2613112,61.134313,0
C=CC(Cl)(Cl)Cl,454,3,-1496.705817,-1496.685787,0,-1036.46679,-1036.448455,0,460.2390268,460.2373318,46.0872395,0
N#CC(Cl)(Cl)Cl,455,3,-1511.519701,-1511.534031,0,-1051.283441,-1051.298926,0,460.2362601,460.2351051,44.68998525,0
CS(=O)(=O)OCC(Cl)(Cl)Cl,456,7,-2121.745449,-2121.69393,1,-1661.48713,-1661.437824,0,460.2583188,460.2561058,57.8679245,0
ClC(Cl)(Cl)C1NCCN1,457,0,-1646.744635,-1646.661583,0,-1186.480461,-1186.400662,0,460.2641735,460.2609205,60.88914875,0
CC(=O)CC(Cl)(Cl)Cl,458,5,-1611.271736,-1611.222734,0,-1151.017221,-1150.970864,0,460.254515,460.25187,55.20996,0
ClC(Cl)(Cl)C1OCCCO1,459,0,-1725.788244,-1725.702104,0,-1265.52917,-1265.445464,0,460.2590736,460.2566396,58.202884,0
CNC(=O)C(Cl)Cl,460,5,-1167.732091,-1167.683456,0,-707.4717438,-707.4247858,0,460.2603469,460.2586699,59.47689725,0
C=CC(=O)C(Cl)Cl,461,5,-1150.432177,-1150.393489,0,-690.176671,-690.13979,0,460.255506,460.253699,56.3576575,0
ClCCl,462,0,-959.72358,-959.720694,0,-499.4467915,-499.4485205,0,460.2767885,460.2721735,67.95040625,0
ClC(Cl)c1ncncn1,463,0,-1238.873102,-1238.832298,0,-778.6211665,-778.5817345,0,460.2519359,460.2505639,54.39038225,0
CP(C)(=O)C(Cl)Cl,464,5,-1455.568751,-1455.503199,0,-995.3020881,-995.2399291,0,460.2666633,460.2632703,62.36364825,0
CC1(C(Cl)Cl)C=NC=N1,465,3,-1224.020101,-1223.94544,0,-763.7499792,-763.6796892,0,460.2701218,460.2657508,63.920162,0
CNC(c1ccccc1)C(Cl)Cl,466,10,-1324.728038,-1324.582136,0,-864.4532676,-864.3112966,1,460.2747709,460.2708399,67.11357225,0
CC(C)(Cl)Cl,467,3,-1038.362392,-1038.306722,0,-578.0913533,-578.0396563,0,460.2710382,460.2670652,64.744948,0
COC(F)(F)C(Cl)Cl,468,6,-1312.054613,-1312.014687,0,-851.7860164,-851.7500824,0,460.2685969,460.2646049,63.20110975,0
ClC1(Cl)CC1,469,0,-1037.104585,-1037.070732,0,-576.8229836,-576.7914626,0,460.2816012,460.2792692,72.402958,0
ClC1(Cl)CCCCC1,470,0,-1155.101134,-1154.981419,0,-694.8274678,-694.7106288,0,460.2736663,460.2707903,67.08244825,0
N#CC(Cl)Cl,471,3,-1051.93301,-1051.934917,0,-591.6840513,-591.6880603,0,460.2489588,460.2468568,52.064177,0
O=C(C(Cl)Cl)C(F)(F)F,472,3,-1410.076052,-1410.068467,1,-949.8282299,-949.8221709,0,460.2478221,460.2462961,51.71233775,0
ClC(Cl)(c1ccccc1)c1ccccc1,473,0,-1421.780263,-1421.630876,0,-961.5391185,-961.3897175,0,460.2411447,460.2411587,48.48861925,0
