Smiles,Index,Atomid,E_energy_r,G_energy_r,conf_idxs_r,error_reason_r,Avaliable,G_energy_r_qharm
CCN(CC)CC,0,2,-292.413884712,-292.240704712,2.0,,2,-292.27875166973047
CN(C)C,1,1,-174.471235214,-174.37728521399998,0.0,,1,-174.39819292727793
COC(OC)N(C)C,2,5,-403.52208467,-403.36983767,0.0,,0,-403.4046901135328
CCN(C(C)C)C(C)C,3,2,-371.041081455,-370.814621455,0.0,,2,-370.863555629978
CN(C)CCO,4,1,-289.007965092,-288.883559092,0.0,,1,-288.90102024373726
CN(C)S(F)(F)F,5,1,-832.229034402,-832.169372402,0.0,,0,-832.1649250861536
COC(=O)CN(C)C,6,5,-402.342593482,-402.212572482,0.0,,1,-402.2470622566657
CN(C)Cc1ccccc1,7,1,-405.504443107,-405.336466107,1.0,,2,-405.40664533503497
C=CCN(C)Cc1ccccc1,8,3,-482.892460302,-482.695259302,4.0,,1,-482.7779492097748
CNCCN(C)C,9,1,-308.439464618,-308.276897618,0.0,,1,-308.308966150735
CNCCN(C)C,9,4,-308.439464618,-308.276897618,0.0,,1,-308.308966150735
CCCN(C)C,10,3,-253.099615011,-252.952720011,1.0,,1,-252.98498541479017
CCN(CC)CCN,11,2,-347.765929137,-347.576145137,0.0,,1,-347.6095548570384
CCN(C)CC,12,2,-253.099838377,-252.953391377,1.0,,1,-252.98522627914483
CN(C)CCF,13,1,-313.024919561,-312.913102561,1.0,,1,-312.9279205678793
CC(C)=C(C)N(C)C,14,5,-330.493525532,-330.318498532,0.0,,1,-330.3680207683547
CN(C)C1OCCO1,15,1,-402.319457026,-402.185516026,0.0,,0,-402.22040089632657
CCCN(C)CCC,16,3,-331.727042745,-331.527729745,2.0,,1,-331.570923785503
COCCN(C)C,17,4,-328.297693146,-328.14840714599995,2.0,,1,-328.18119594477406
COC(OC)(OC)N(C)C,18,7,-518.048545104,-517.867218104,0.0,,0,-517.909791302587
C#CCN(C)Cc1ccccc1,19,3,-481.636389643,-481.462505643,0.0,,1,-481.5447800453544
CN(C)CCCN(C)C,20,1,-387.058408702,-386.842990702,1.0,,1,-386.8902855339979
C#CCN(C)C,21,3,-250.602376551,-250.502305551,0.0,,1,-250.53627588346774
CC(C)N(C)C,22,3,-253.099640975,-252.952778975,0.0,,1,-252.98484276585154
CN(C)S(C)(=O)=O,23,1,-723.068682157,-722.970118157,0.0,,1,-722.9911858017771
CN(C)CN(C)C,24,1,-308.435719035,-308.273528035,0.0,,1,-308.3115625461946
CC(C)N(C)C(C)C,25,3,-331.726977904,-331.52675090400004,0.0,,1,-331.5700407685109
C=CCN(C)C,26,3,-251.859313729,-251.735836729,0.0,,0,-251.7701593051772
CC(=O)CN(C)C,27,4,-327.113549371,-326.988337371,0.0,,0,-327.0201414596648
CC(O)CN(C)C,28,4,-328.327345119,-328.176679119,0.0,,0,-328.20023161212504
CCN(C)C,29,2,-213.784700853,-213.664291853,0.0,,1,-213.69102973429608
c1ccc(CN(Cc2ccccc2)Cc2ccccc2)cc1,30,5,-867.573255842,-867.257862842,5.0,,2,-867.4228884130064
C=CN(C)C,31,2,-212.556379692,-212.459098692,0.0,,0,-212.48712130086813
CN(C)C(C)(C)C,32,1,-292.412065115,-292.238799115,0.0,,1,-292.2757273381571
C1CN2CCN1CC2,33,2,-345.326446865,-345.171818865,0.0,,2,-345.2187201010449
CN1CCCCC1,34,1,-291.214050978,-291.056541978,0.0,,2,-291.09581607508335
CCN1CCCCC1,35,2,-330.517072966,-330.333766966,0.0,,2,-330.37887524642366
COC(=O)C1CCN(C)CC1,36,7,-519.078171286,-518.885501286,2.0,,0,-518.937328443429
C1CCN2CCCCC2C1,37,3,-407.95772047,-407.73709947,0.0,,2,-407.7947426691805
C1CN2CCC1CC2,38,2,-329.308564096,-329.143124096,0.0,,2,-329.1897031857395
CN1CCCC1,39,1,-251.892004858,-251.763852858,0.0,,2,-251.7958795547031
c1ccc(N(c2ccccc2)c2ccccc2)cc1,40,4,-749.63854484,-749.40313184,0.0,,2,-749.5566132396218
CN(C)c1ccccc1,41,1,-366.194216106,-366.052999106,0.0,,2,-366.1179982945565
CN1CCCc2ccccc21,42,1,-443.624485007,-443.447512007,0.0,,1,-443.52701540811194
CN1CCNCC1,43,1,-307.231422128,-307.085826128,0.0,,1,-307.1197390177123
CN1CCNCC1,43,4,-307.231422128,-307.085826128,0.0,,1,-307.1197390177123
CN1CCOCC1,44,1,-327.104208915,-326.97048891500003,0.0,,2,-327.0044984949029
CN1CCN(C)CC1,45,1,-346.549534027,-346.376965027,0.0,,2,-346.420794347181
Cn1cccc1,46,1,-249.468170634,-249.386462634,0.0,,2,-249.42265042710738
CN1CCS(=O)(=O)CC1,47,1,-800.489418278,-800.353123278,0.0,,2,-800.3877913185953
CN1Cc2ccccc2C1,48,1,-404.298201371,-404.149538371,0.0,,1,-404.2214461632005
CN1CCc2ccccc21,49,1,-404.30803998,-404.15905798,0.0,,1,-404.23141882692994
CN(C)C1CCCCC1,50,1,-369.827372256,-369.616775256,0.0,,0,-369.6670455543165
CN(C)c1ccc(C#N)cc1,51,1,-458.431303473,-458.294934473,0.0,,1,-458.3772667698489
c1ccc(N2CCCC2)cc1,52,4,-443.620990905,-443.444865905,0.0,,2,-443.5215105248411
CN1CCC(F)CC1,53,1,-390.460970526,-390.312520526,0.0,,1,-390.33977149845055
CN(C)C#N,54,1,-227.394911127,-227.332308127,0.0,,0,-227.36099368229773
CN(C)C(F)(F)F,55,1,-472.229343656,-472.162744656,0.0,,0,-472.1591975017972
CN1CCN(C)C1(F)F,56,1,-505.74871572,-505.62330772,0.0,,1,-505.6426643816165
C=CCN(C)CC=C,57,3,-329.24732715,-329.09443215,1.0,,1,-329.14155219015345
C#CCN(CC)CC,58,3,-329.232276782,-329.078973782,2.0,,1,-329.1233883881099
N#CN1CCCCC1,59,2,-344.13787554,-344.01129554,0.0,,0,-344.05847070746756
CN(C)C1CCCC1,60,1,-330.513945665,-330.331686665,1.0,,1,-330.3748646604364
C#CCN(CC#C)CC#C,61,3,-402.860061282,-402.748300282,1.0,,1,-402.8075764708194
N#CN1CCOCC1,62,2,-380.024690907,-379.921954907,0.0,,0,-379.96431201422854
CN1C2CCC1CC(O)C2,63,1,-443.846506887,-443.651242887,0.0,,0,-443.69392779962465
COC(=O)CN1CCCCC1,64,5,-519.084298969,-518.890448969,0.0,,1,-518.9433737927995
COC(=O)C1CN(C)C1,65,6,-440.42296927,-440.28717227,0.0,,1,-440.3261670280523
CC12COCN1COC2,66,5,-440.421215242,-440.278981242,0.0,,1,-440.3180970977908
CN(C)CC#N,67,1,-266.702450153,-266.612725153,0.0,,0,-266.64761196908483
C#CCN1CCCC1,68,3,-328.022935796,-327.888915796,0.0,,0,-327.9337539551929
CP(C)C,69,1,-461.102709529,-461.018172529,0.0,,1,-461.0335643484701
COP(OC)OC,70,2,-686.775243322,-686.6826593220001,0.0,,1,-686.7050025018697
c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,71,5,-1261.95126495,-1261.71547395,7.0,,2,-1261.8705697645423
CC(C)P(C(C)C)C(C)C,72,3,-696.975977698,-696.728902698,0.0,,1,-696.7808577206354
CN(C)P(N(C)C)N(C)C,73,3,-745.07492041,-744.86379241,0.0,,2,-744.9149290039999
CSP(SC)SC,74,2,-1655.72597863,-1655.64594963,0.0,,0,-1655.6626329856595
CP(C)c1ccccc1,75,1,-652.816827437,-652.684391437,0.0,,1,-652.7440329109762
c1ccc(P(c2ccccc2)C2CCCCC2)cc1,76,4,-1039.88842902,-1039.59069102,1.0,,1,-1039.7241264870684
COP(OC)N(C)C,77,2,-706.212616187,-706.080333187,1.0,,0,-706.1125711238965
c1ccc(CP(Cc2ccccc2)Cc2ccccc2)cc1,78,5,-1154.20190378,-1153.8947637800002,4.0,,2,-1154.0549216792149
CP(C(C)(C)C)C(C)(C)C,79,1,-696.975829529,-696.728153529,0.0,,1,-696.780330627339
COP(C)OC,80,2,-611.548398637,-611.458534637,0.0,,1,-611.4790245217508
C=CCOP(OCC=C)OCC=C,81,4,-918.946512254,-918.761848254,3.0,,1,-918.8272948653633
CN(C)P(C)C,82,3,-555.756806231,-555.630333231,1.0,,0,-555.6571847222328
CN1CCN(C)P1c1ccccc1,83,6,-840.92597249,-840.7267444900001,0.0,,1,-840.8117334586063
CCP(CC)CC,84,2,-579.03927582,-578.8750258199999,0.0,,1,-578.9082857702168
CC(C)(C)P(C(C)(C)C)C(C)(C)C,85,4,-814.89784848,-814.56650448,0.0,,2,-814.6379907504531
C1N2CN3CN1CP(C2)C3,86,7,-741.438875401,-741.2776074010001,0.0,,1,-741.3318037908258
c1cc(P(c2ccoc2)c2ccoc2)co1,87,3,-1029.59360023,-1029.45356423,4.0,,1,-1029.5446593442834
COP(OC)c1ccccc1,88,2,-803.263308702,-803.125064702,0.0,,1,-803.19170093293
COP(c1ccccc1)c1ccccc1,89,2,-919.749673322,-919.567597322,0.0,,1,-919.6744117426003
C1OP2OCC1CO2,90,2,-723.691597452,-723.604774452,0.0,,1,-723.6389503826964
C=CP(c1ccccc1)c1ccccc1,91,2,-882.602580039,-882.4187080390001,0.0,,1,-882.5321600866906
c1ccc(-p2c3ccccc3c3ccccc32)cc1,92,4,-1035.05546422,-1034.84510922,0.0,,1,-1035.0007185602055
CP1CCCC1,93,1,-538.519350619,-538.398075619,0.0,,1,-538.4268142165067
C=CCP(c1ccccc1)c1ccccc1,94,3,-921.919666312,-921.709095312,1.0,,1,-921.8264641616463
COP1OCCO1,95,2,-685.579430517,-685.503075517,0.0,,0,-685.528910979858
CC(C)(C)P(c1ccccc1)C(C)(C)C,96,4,-888.688543748,-888.3927727480001,0.0,,1,-888.4905746909924
CC(C)P(c1ccccc1)c1ccccc1,97,3,-923.15831848,-922.92239148,0.0,,1,-923.0408304237449
C1CCC(P(C2CCCC2)C2CCCC2)C1,98,4,-929.226033732,-928.875459732,0.0,,1,-928.9592454657054
C#CP(c1ccccc1)c1ccccc1,99,2,-881.346651999,-881.187027999,1.0,,1,-881.3004039944465
CC(C)(C)P(C1CCCCC1)C(C)(C)C,100,4,-892.323838539,-891.957377539,2.0,,1,-892.0395680202596
c1ccc(P2CCCC2)cc1,101,4,-730.233279848,-730.063902848,0.0,,1,-730.1374758074953
C1CCN(P(N2CCCC2)N2CCCC2)C1,102,4,-977.339647631,-977.025538631,2.0,,1,-977.1069963540814
CP(C)C(C)(C)C,103,1,-579.042185636,-578.877570636,0.0,,1,-578.9104606124653
CP(C)[Si](C)(C)C,104,1,-830.471428022,-830.321353022,0.0,,0,-830.3491820266593
CP(C)Cc1ccccc1,105,1,-692.135571832,-691.9770928319999,1.0,,1,-692.0413147029158
COP(C)C,106,2,-536.320850542,-536.234351542,0.0,,1,-536.2514288734674
CP1CC=CC1,107,1,-537.285772044,-537.1883720440001,0.0,,0,-537.2197234689654
CC(C)(C)P1CCCCC1,108,4,-695.771886008,-695.541563008,0.0,,1,-695.5941391985234
c1coc(P(c2ccco2)c2ccco2)c1,109,4,-1029.59257504,-1029.45247404,0.0,,1,-1029.5469129621533
C1=CCP(C2CCCCC2)C1,110,3,-732.649788828,-732.4352238280001,0.0,,0,-732.4970662731001
CN1CCN(C)P1C,111,6,-649.207882618,-649.0575496179999,0.0,,1,-649.0968719803996
C1=CCP(c2ccccc2)C1,112,3,-729.000105684,-728.855172684,1.0,,1,-728.9312616422972
C1CCP2CCCCC2C1,113,3,-694.56362695,-694.35058495,0.0,,1,-694.4055730340966
CP1Oc2cccc3cccc(c23)O1,114,1,-916.392366367,-916.254619367,0.0,,1,-916.3574095869865
c1ccc(P(c2ccccc2)c2ccccc2)cc1,115,4,-1036.2482702,-1036.0202802,0.0,,2,-1036.1682301274884
Cc1ccccc1P(c1ccccc1C)c1ccccc1C,116,7,-1154.19900956,-1153.89076056,0.0,,2,-1154.0637912723018
Fc1ccc(P(c2ccc(F)cc2)c2ccc(F)cc2)cc1,117,5,-1333.97316121,-1333.77364121,0.0,,1,-1333.8948288540237
COc1ccc(P(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,118,6,-1379.81330985,-1379.49712985,0.0,,2,-1379.6689510030503
COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,119,8,-1379.81153916,-1379.49312416,0.0,,1,-1379.6703659663783
C=Cc1ccc(P(c2ccc(C=C)cc2)c2ccc(C=C)cc2)cc1,120,6,-1268.4245121,-1268.1082941,1.0,,1,-1268.3060082561424
Fc1c(F)c(F)c(P(c2ccccc2)c2ccccc2)c(F)c1F,121,7,-1532.41204688,-1532.23082788,0.0,,1,-1532.341409705002
c1ccc(-c2ccccc2P(c2ccccc2)c2ccccc2)cc1,122,10,-1267.28331906,-1266.97883806,0.0,,1,-1267.1810236707202
Fc1cccc(P(c2cccc(F)c2)c2cccc(F)c2)c1,123,6,-1333.97263266,-1333.77348666,1.0,,1,-1333.8940361903894
