iter	RMSE
0	6.307796258
1	6.269196985
2	6.233247086
3	6.19597238
4	6.161000517
5	6.124419453
6	6.089909497
7	6.05532583
8	6.021402196
9	5.988174222
10	5.954602147
11	5.921981566
12	5.889883545
13	5.858408495
14	5.827631582
15	5.795455172
16	5.764280896
17	5.734168576
18	5.70383695
19	5.673806105
20	5.643159554
21	5.614069973
22	5.585824412
23	5.556015493
24	5.526697609
25	5.498547373
26	5.47019486
27	5.443020416
28	5.415632932
29	5.387541383
30	5.360143203
31	5.336436053
32	5.311154622
33	5.285940414
34	5.260053018
35	5.235151467
36	5.211611999
37	5.186734444
38	5.163797167
39	5.139192245
40	5.113780299
41	5.090815384
42	5.06798126
43	5.044311939
44	5.020457352
45	4.99791847
46	4.975179065
47	4.952370315
48	4.930686016
49	4.907833184
50	4.887638919
51	4.867902855
52	4.846222675
53	4.827013007
54	4.808008698
55	4.787769039
56	4.768423046
57	4.748886109
58	4.729738041
59	4.710133961
60	4.691106116
61	4.672793688
62	4.653975087
63	4.63521526
64	4.61616805
65	4.598249074
66	4.579551257
67	4.56126348
68	4.542864102
69	4.525046807
70	4.507928921
71	4.49163789
72	4.47417927
73	4.45764519
74	4.441094499
75	4.42501891
76	4.409260445
77	4.392549801
78	4.378077036
79	4.363273928
80	4.348649628
81	4.334749976
82	4.319172324
83	4.304195782
84	4.289684369
85	4.275253758
86	4.262646445
87	4.248266459
88	4.234230136
89	4.219897214
90	4.206204608
91	4.193088752
92	4.179587842
93	4.165973804
94	4.154250258
95	4.141362224
96	4.128616262
97	4.115658537
98	4.103661626
99	4.091613832
100	4.0779484
101	4.064173427
102	4.052039597
103	4.037989231
104	4.026453616
105	4.015751727
106	4.005842326
107	3.993499319
108	3.983202878
109	3.971263171
110	3.959930516
111	3.950033668
112	3.939124541
113	3.926629513
114	3.916627885
115	3.905805429
116	3.894689617
117	3.883272785
118	3.874273619
119	3.86178641
120	3.853135275
121	3.843719665
122	3.832941307
123	3.822962681
124	3.814988363
125	3.805474024
126	3.793648619
127	3.783820197
128	3.77486568
129	3.767217987
130	3.759088061
131	3.750548184
132	3.740660392
133	3.730406238
134	3.722151085
135	3.713580105
136	3.703607979
137	3.694906528
138	3.685703936
139	3.677036079
140	3.668024611
141	3.659542432
142	3.651429764
143	3.644291799
144	3.636920867
145	3.628703414
146	3.619622438
147	3.61174099
148	3.605081806
149	3.596187747
150	3.589940491
151	3.581284644
152	3.573689097
153	3.566714987
154	3.558530097
155	3.551388217
156	3.545311933
157	3.539059046
158	3.531720057
159	3.523463437
160	3.516719649
161	3.508592421
162	3.500810821
163	3.493491618
164	3.487683927
165	3.479202155
166	3.47356538
167	3.467580558
168	3.460879321
169	3.453467589
170	3.447353481
171	3.440178352
172	3.433868049
173	3.427575082
174	3.420839845
175	3.413636525
176	3.407805479
177	3.402277964
178	3.395436308
179	3.388310792
180	3.382355238
181	3.375143257
182	3.368815715
183	3.362185065
184	3.355794205
185	3.351344349
186	3.34515832
187	3.338832771
188	3.331412647
189	3.324331287
190	3.319412745
191	3.31314712
192	3.308868477
193	3.303166206
194	3.296827822
195	3.291447592
196	3.286288986
197	3.280200811
198	3.274750442
199	3.269361005
200	3.264499922
201	3.259572956
202	3.254848475
203	3.249575714
204	3.24452578
205	3.238720904
206	3.234398444
207	3.229071402
208	3.224799228
209	3.219924508
210	3.214475045
211	3.20992233
212	3.205698082
213	3.201505103
214	3.196247284
215	3.190480872
216	3.185604139
217	3.181307272
218	3.176444976
219	3.170978414
220	3.16646396
221	3.161902585
222	3.15754489
223	3.153712444
224	3.149377912
225	3.144694507
226	3.139413045
227	3.136008076
228	3.131582968
229	3.125889246
230	3.122073352
231	3.116773483
232	3.11247748
233	3.109009888
234	3.104560705
235	3.099324845
236	3.094745145
237	3.091140578
238	3.087674335
239	3.084185881
240	3.07949213
241	3.076218547
242	3.072258715
243	3.069623789
244	3.066558625
245	3.062003638
246	3.059601388
247	3.055502225
248	3.051202841
249	3.047672859
250	3.0441271
251	3.040487984
252	3.037050028
253	3.034301571
254	3.030703622
255	3.027373512
256	3.023187752
257	3.019697756
258	3.015712139
259	3.01195167
260	3.008060689
261	3.004360039
262	3.000340488
263	2.997061679
264	2.993668405
265	2.989719136
266	2.986434347
267	2.982393516
268	2.979333935
269	2.976365176
270	2.973099952
271	2.970021656
272	2.967604451
273	2.964425869
274	2.961266857
275	2.956941044
276	2.954066125
277	2.95116677
278	2.947713104
279	2.944130413
280	2.940414746
281	2.937788755
282	2.934255379
283	2.931236509
284	2.927939427
285	2.924341192
286	2.921641469
287	2.918761992
288	2.915449898
289	2.912391334
290	2.90987912
291	2.906591636
292	2.904031488
293	2.901189073
294	2.898635276
295	2.896142988
296	2.892743509
297	2.890168104
298	2.886191109
299	2.883681
300	2.879937675
301	2.876942379
302	2.873490712
303	2.870167267
304	2.867048243
305	2.86510537
306	2.862634293
307	2.859880161
308	2.857070259
309	2.853953345
310	2.851144669
311	2.848665671
312	2.84569949
313	2.843138849
314	2.841068534
315	2.838545752
316	2.835698459
317	2.833652551
318	2.831242808
319	2.828576546
320	2.826435977
321	2.823959524
322	2.820914519
323	2.818227306
324	2.816072074
325	2.813375907
326	2.81081059
327	2.808129462
328	2.805824007
329	2.803552833
330	2.801691795
331	2.799250091
332	2.796743022
333	2.793450548
334	2.790814716
335	2.78862617
336	2.786165587
337	2.783952123
338	2.781646988
339	2.779679033
340	2.777352241
341	2.775438179
342	2.772918821
343	2.770279239
344	2.767976956
345	2.76550749
346	2.762779215
347	2.760983491
348	2.759309796
349	2.757101615
350	2.75497981
351	2.75293948
352	2.75093838
353	2.749062953
354	2.746748842
355	2.744212035
356	2.742311063
357	2.740223973
358	2.738278159
359	2.735761532
360	2.73437318
361	2.73257294
362	2.730287489
363	2.728678923
364	2.726539809
365	2.724529875
366	2.722538499
367	2.720545443
368	2.718491003
369	2.71591863
370	2.714306153
371	2.712632152
372	2.710507477
373	2.708426472
374	2.706496828
375	2.704773194
376	2.702714501
377	2.70110723
378	2.698819095
379	2.696787045
380	2.694466685
381	2.692453649
382	2.690044038
383	2.687899019
384	2.686103911
385	2.684066442
386	2.681844949
387	2.679645857
388	2.677838015
389	2.676624741
390	2.67466039
391	2.672154129
392	2.670536013
393	2.668591561
394	2.66710893
395	2.665199105
396	2.663221098
397	2.661913092
398	2.660004413
399	2.658196924
400	2.656582232
401	2.655023752
402	2.653463239
403	2.651745686
404	2.650060084
405	2.64770984
406	2.646123038
407	2.644461695
408	2.642768793
409	2.640572067
410	2.638602685
411	2.63664864
412	2.635456213
413	2.634460379
414	2.632978613
415	2.631276185
416	2.629863286
417	2.628427867
418	2.626912236
419	2.625290443
420	2.623766632
421	2.622027861
422	2.620158515
423	2.618514547
424	2.616845168
425	2.615444632
426	2.613474709
427	2.611670659
428	2.610560551
429	2.609250961
430	2.607245269
431	2.605465387
432	2.603883728
433	2.602482719
434	2.601239539
435	2.599896301
436	2.598082165
437	2.596725385
438	2.595491138
439	2.59407908
440	2.592862925
441	2.591407411
442	2.589624116
443	2.588154332
444	2.587278321
445	2.585598476
446	2.584471206
447	2.583285772
448	2.581946531
449	2.580731817
450	2.579384466
451	2.578192593
452	2.576641805
453	2.575179502
454	2.57358756
455	2.572464169
456	2.570382062
457	2.568936465
458	2.56746967
459	2.56606111
460	2.564285065
461	2.563407218
462	2.56224582
463	2.560988041
464	2.559564637
465	2.558534894
466	2.557682199
467	2.555705683
468	2.554675504
469	2.552836844
470	2.551142327
471	2.549737934
472	2.548448424
473	2.547223831
474	2.546175391
475	2.545169855
476	2.543743785
477	2.542506896
478	2.540924764
479	2.539800222
480	2.538324734
481	2.537134269
482	2.535999303
483	2.534608796
484	2.533308536
485	2.531867419
486	2.530229365
487	2.528891658
488	2.527913271
489	2.526452165
490	2.524812456
491	2.52355829
492	2.522146864
493	2.520866151
494	2.519822153
495	2.51898757
496	2.517457372
497	2.515872632
498	2.514977788
499	2.513609669
500	2.512246605
501	2.510920908
502	2.509285713
503	2.507686151
504	2.506627233
505	2.505164232
506	2.504068652
507	2.502422854
508	2.501394821
509	2.49987335
510	2.498823362
511	2.497825557
512	2.496512227
513	2.495308211
514	2.493905701
515	2.492936052
516	2.491332029
517	2.489917598
518	2.488822368
519	2.487356273
520	2.486296719
521	2.485265916
522	2.484121682
523	2.482884018
524	2.481895895
525	2.481054307
526	2.480064488
527	2.478992125
528	2.478010343
529	2.476735246
530	2.475437199
531	2.474343857
532	2.473455365
533	2.472530253
534	2.471090164
535	2.47005071
536	2.468559805
537	2.467700137
538	2.46652393
539	2.465366565
540	2.464463413
541	2.463655598
542	2.462792153
543	2.461512595
544	2.46036156
545	2.459238319
546	2.458154881
547	2.456768901
548	2.455698594
549	2.454739939
550	2.453957846
551	2.452714698
552	2.451742632
553	2.450249295
554	2.448816934
555	2.447899224
556	2.446809828
557	2.44581801
558	2.444454899
559	2.44342888
560	2.442015288
561	2.441195347
562	2.440155346
563	2.439176489
564	2.438260086
565	2.437288705
566	2.436313374
567	2.435265181
568	2.434379536
569	2.433763054
570	2.43282203
571	2.43184245
572	2.430838179
573	2.429892007
574	2.429198786
575	2.428240727
576	2.427264803
577	2.426396972
578	2.425472813
579	2.424631891
580	2.423646202
581	2.422682618
582	2.421741433
583	2.420320074
584	2.419050098
585	2.418197006
586	2.417206001
587	2.415920549
588	2.414920482
589	2.414111041
590	2.413313242
591	2.412425245
592	2.411716762
593	2.410882731
594	2.409590399
595	2.408429551
596	2.407580911
597	2.406891941
598	2.40607465
599	2.405110255
600	2.404342747
601	2.403541946
602	2.402429488
603	2.401704271
604	2.400835534
605	2.399879943
606	2.398912267
607	2.39796907
608	2.397062658
609	2.396466662
610	2.395680054
611	2.394639738
612	2.393829834
613	2.392678891
614	2.391831837
615	2.390994521
616	2.390071742
617	2.388790987
618	2.388098014
619	2.387185201
620	2.386266482
621	2.385219643
622	2.384334689
623	2.383224423
624	2.382496062
625	2.381651249
626	2.380910468
627	2.38029904
628	2.379399872
629	2.378538251
630	2.377821993
631	2.376916033
632	2.376061312
633	2.374884418
634	2.374249292
635	2.373512891
636	2.372624368
637	2.37199636
638	2.371090079
639	2.370358107
640	2.369511836
641	2.368925232
642	2.368370963
643	2.367915779
644	2.366851885
645	2.366057576
646	2.365251023
647	2.364343459
648	2.363757435
649	2.362780961
650	2.362118388
651	2.36124147
652	2.360169299
653	2.359135563
654	2.358580257
655	2.358062882
656	2.357206946
657	2.356600314
658	2.355768202
659	2.354887703
660	2.353962942
661	2.352998257
662	2.352451525
663	2.351600074
664	2.35096907
665	2.350136981
666	2.349399704
667	2.348890992
668	2.347937867
669	2.347133608
670	2.34636794
671	2.345537153
672	2.344779303
673	2.343845314
674	2.342835223
675	2.342307704
676	2.341586107
677	2.340543732
678	2.339724908
679	2.338891677
680	2.338179561
681	2.337391233
682	2.336641829
683	2.336007537
684	2.33554224
685	2.334327032
686	2.333701584
687	2.332723477
688	2.332140897
689	2.33148285
690	2.330599742
691	2.329848016
692	2.329252711
693	2.328248685
694	2.3276969
695	2.327054781
696	2.326432836
697	2.325485303
698	2.324461217
699	2.323714371
700	2.323069491
701	2.322225174
702	2.321636561
703	2.320751576
704	2.320096537
705	2.31959365
706	2.318328181
707	2.317842386
708	2.317237445
709	2.316456873
710	2.315760799
711	2.314848863
712	2.314039809
713	2.313437682
714	2.31284457
715	2.311856879
716	2.311324162
717	2.310728291
718	2.310166052
719	2.309172074
720	2.308333494
721	2.30731873
722	2.306349154
723	2.3058807
724	2.305194529
725	2.304231116
726	2.303621749
727	2.302973466
728	2.302335672
729	2.301513294
730	2.301027694
731	2.300102318
732	2.299258706
733	2.298575718
734	2.297515924
735	2.296785284
736	2.295997548
737	2.295453073
738	2.294714302
739	2.293763778
740	2.293264491
741	2.292380557
742	2.291863825
743	2.291172788
744	2.290628477
745	2.290076991
746	2.28944165
747	2.288553774
748	2.287968156
749	2.287178652
750	2.286631804
751	2.285976075
752	2.28529135
753	2.28479015
754	2.284247858
755	2.283521255
756	2.282877792
757	2.282165344
758	2.281599811
759	2.281091917
760	2.280669939
761	2.280192118
762	2.279674761
763	2.278796822
764	2.27807329
765	2.277352146
766	2.276893711
767	2.276253269
768	2.275592656
769	2.274981231
770	2.274463585
771	2.273847174
772	2.27298979
773	2.272358595
774	2.271524434
775	2.270813823
776	2.270116212
777	2.269509458
778	2.268867401
779	2.268184731
780	2.267438882
781	2.266653913
782	2.266054431
783	2.265443996
784	2.264800898
785	2.264044664
786	2.263398013
787	2.262971895
788	2.262273078
789	2.261702461
790	2.260728334
791	2.260240889
792	2.259350328
793	2.258580345
794	2.257993844
795	2.257667042
796	2.25710318
797	2.256204624
798	2.255720221
799	2.255186126
800	2.2544693
801	2.253897173
802	2.253262044
803	2.252794559
804	2.252051633
805	2.251507915
806	2.250920183
807	2.250290994
808	2.249633655
809	2.248868012
810	2.248206751
811	2.247635589
812	2.247186458
813	2.246737012
814	2.246354971
815	2.245918072
816	2.245304881
817	2.244714023
818	2.244297722
819	2.243707467
820	2.243258848
821	2.242641221
822	2.242047543
823	2.241441104
824	2.240891189
825	2.240121305
826	2.239621994
827	2.238982456
828	2.238399509
