iter	Passed	Remaining
0	4	47706
1	9	46245
2	13	44825
3	18	46995
4	24	48124
5	27	45436
6	32	46662
7	37	46856
8	41	46019
9	45	45571
10	51	47015
11	58	48573
12	63	48527
13	67	48399
14	72	47951
15	76	47960
16	83	49092
17	87	48466
18	92	48539
19	97	48805
20	102	48753
21	107	48794
22	112	48816
23	116	48416
24	121	48298
25	127	48758
26	131	48478
27	135	48107
28	139	47832
29	144	47863
30	149	48013
31	154	48129
32	158	47994
33	162	47748
34	167	47590
35	172	47771
36	176	47492
37	180	47335
38	185	47395
39	190	47366
40	195	47544
41	199	47356
42	204	47441
43	209	47455
44	214	47546
45	220	47707
46	225	47660
47	230	47769
48	236	48024
49	241	47998
50	245	47925
51	251	48208
52	257	48369
53	262	48346
54	266	48238
55	271	48216
56	276	48158
57	280	48095
58	285	48172
59	290	48157
60	295	48169
61	298	47915
62	303	47836
63	307	47666
64	310	47528
65	314	47372
66	319	47299
67	322	47157
68	327	47135
69	332	47101
70	335	46870
71	339	46875
72	345	46963
73	349	46865
74	354	46901
75	359	46885
76	362	46776
77	367	46782
78	373	46960
79	379	47000
80	384	47033
81	388	47040
82	393	47020
83	398	47067
84	403	47030
85	407	47019
86	411	46941
87	416	46964
88	421	46963
89	425	46880
90	430	46868
91	435	46925
92	440	46884
93	444	46795
94	449	46845
95	454	46931
96	459	46935
97	464	46915
98	468	46860
99	471	46727
100	477	46809
101	482	46856
102	487	46842
103	492	46859
104	497	46844
105	502	46857
106	506	46808
107	511	46823
108	516	46841
109	521	46864
110	525	46832
111	530	46828
112	535	46886
113	541	46967
114	546	46938
115	551	46966
116	556	47036
117	562	47074
118	566	47037
119	572	47115
120	577	47122
121	582	47147
122	587	47170
123	592	47163
124	597	47178
125	602	47217
126	607	47205
127	681	52563
128	686	52563
129	690	52431
130	695	52420
131	700	52380
132	707	52489
133	712	52432
134	716	52347
135	720	52267
136	726	52274
137	729	52153
138	734	52077
139	738	51992
140	742	51946
141	747	51898
142	751	51793
143	757	51816
144	762	51794
145	766	51721
146	771	51704
147	775	51639
148	780	51570
149	785	51611
150	791	51658
151	799	51812
152	805	51859
153	813	51981
154	821	52202
155	829	52331
156	837	52475
157	843	52538
158	849	52592
159	856	52657
160	861	52641
161	865	52590
162	873	52722
163	880	52804
164	886	52830
165	891	52832
166	898	52926
167	904	52951
168	910	52965
169	916	52997
170	921	52992
171	927	53011
172	933	53019
173	938	53013
174	943	52966
175	948	52921
176	952	52863
177	957	52821
178	962	52804
179	968	52809
180	972	52775
181	977	52715
182	982	52701
183	988	52707
184	994	52753
185	1000	52784
186	1006	52836
187	1011	52802
188	1017	52801
189	1023	52824
190	1029	52878
191	1034	52826
192	1038	52760
193	1043	52765
194	1049	52795
195	1137	56911
196	1141	56818
197	1146	56772
198	1164	57328
199	1169	57283
200	1174	57236
201	1178	57149
202	1181	57038
203	1187	57024
204	1191	56922
205	1196	56869
206	1201	56845
207	1206	56800
208	1211	56737
209	1216	56720
210	1221	56654
211	1225	56563
212	1229	56474
213	1234	56457
214	1239	56400
215	1243	56330
216	1248	56275
217	1254	56282
218	1260	56277
219	1265	56235
220	1269	56175
221	1274	56129
222	1279	56094
223	1283	56029
224	1289	56009
225	1295	56011
226	1298	55922
227	1303	55853
228	1306	55757
229	1311	55691
230	1315	55639
231	1320	55588
232	1324	55529
233	1328	55448
234	1333	55417
235	1339	55401
236	1343	55349
237	1347	55288
238	1352	55221
239	1357	55204
240	1362	55167
241	1366	55102
242	1370	55027
243	1374	54964
244	1378	54905
245	1383	54865
246	1388	54811
247	1392	54746
248	1396	54693
249	1400	54634
250	1406	54630
251	1410	54575
252	1415	54538
253	1419	54474
254	1426	54501
255	1430	54443
256	1434	54394
257	1438	54333
258	1442	54265
259	1447	54239
260	1453	54248
261	1458	54205
262	1464	54228
263	1468	54165
264	1473	54146
265	1479	54140
266	1483	54072
267	1487	54026
268	1492	54004
269	1496	53946
270	1503	53965
271	1508	53965
272	1513	53928
273	1517	53875
274	1522	53845
275	1527	53815
276	1532	53775
277	1537	53756
278	1542	53730
279	1546	53675
280	1550	53635
281	1555	53612
282	1560	53578
283	1564	53523
284	1569	53512
285	1574	53470
286	1578	53429
287	1584	53426
288	1588	53388
289	1593	53346
290	1598	53329
291	1603	53320
292	1607	53262
293	1611	53207
294	1616	53189
295	1620	53124
296	1624	53066
297	1628	53027
298	1634	53015
299	1638	52986
300	1643	52954
301	1649	52970
302	1654	52934
303	1658	52890
304	1663	52885
305	1669	52874
306	1673	52834
307	1678	52827
308	1683	52790
309	1687	52735
310	1692	52713
311	1697	52715
312	1701	52654
313	1706	52626
314	1710	52596
315	1714	52546
316	1719	52513
317	1724	52496
318	1728	52444
319	1731	52392
320	1736	52370
321	1741	52356
322	1746	52332
323	1751	52294
324	1755	52261
325	1760	52236
326	1765	52212
327	1770	52197
328	1774	52157
329	1779	52153
330	1784	52124
331	1788	52087
332	1793	52061
333	1797	52017
334	1801	51974
335	1805	51937
336	1810	51909
337	1815	51891
338	1820	51870
