key,B_Index,N_Index,Cl_Index,Conf_id,source_TS_G_hartree,base_log_exists,fallback_log_exists,log_file,log_exists,status,error_type,error,electronic_energy_hartree,gibbs_rrho_hartree,gibbs_qharm_hartree,gibbs_qrrho_hartree,gibbs_full_qrrho_hartree,rrho_g_corr_hartree,qharm_g_corr_hartree,temperature_K,frequency_cutoff_cm_1,n_real_frequencies,n_low_positive_frequencies,min_positive_frequency_cm_1,low_positive_frequencies_cm_1,elapsed_seconds
B_00388_LB_00001_Cl_00492,388,1,492,12,-1349.53302,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00492_0012.log,True,ok,,,-1349.73276847,-1349.5815305933272,-1349.576438897626,-1349.5779172787118,-1349.5800503860885,0.1512378766729801,0.1563295723739891,298.15,100.0,68,4,5.1472,"[5.1472, 29.7865, 33.8456, 85.1219]",0.34539619996212423
B_00388_LB_00033_Cl_00492,388,33,492,10,-1520.331794,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00033_Cl_00492_0010.log,True,ok,,,-1520.61745439,-1520.406167673686,-1520.4001233188578,-1520.401710947524,-1520.404485851561,0.2112867163138207,0.2173310711421446,298.15,100.0,89,6,9.6632,"[9.6632, 20.1967, 29.1953, 44.3345, 70.8318, 88.877]",0.4314039000310004
B_00388_LB_00071_Cl_00492,388,71,492,10,-2436.856731,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00071_Cl_00492_0010.log,True,ok,,,-2437.34301543,-2437.0491531894395,-2437.0375611155623,-2437.040093260273,-2437.046335762771,0.2938622405606427,0.3054543144377808,298.15,100.0,140,13,10.1732,"[10.1732, 19.3393, 20.9184, 26.6217, 28.869, 32.054, 42.6186, 46.2954, 57.6146, 63.854, 74.4389, 83.3867, 93.1001]",0.18533729994669557
B_00388_LB_00075_Cl_00492,388,75,492,10,-1827.841305,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00075_Cl_00492_0010.log,True,ok,,,-1828.11928189,-1827.9306494542905,-1827.9244592306638,-1827.9259349678905,-1827.9291927381435,0.1886324357094058,0.19482265933598825,298.15,100.0,89,6,12.1603,"[12.1603, 19.0815, 25.3117, 41.859, 58.5032, 94.6524]",0.35032870015129447
B_00388_LB_00141_Cl_00480,388,141,480,0,-2000.912284,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00141_Cl_00480_0000.log,True,ok,,,-2000.98679126,-2000.938359198555,-2000.9322653741003,-2000.9338415383293,-2000.9368098118855,0.04843206144514074,0.0545258858996268,298.15,100.0,50,6,6.9899,"[6.9899, 24.7453, 26.1723, 54.1117, 72.4847, 85.035]",0.28731220006011426
B_00388_LB_00143_Cl_00480,388,143,480,2,-1979.710016,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00143_Cl_00480_0002.log,True,ok,,,-1979.85938163,-1979.7970420399135,-1979.7922756541839,-1979.7927702411573,-1979.7966279899526,0.06233959008634746,0.06710597581612886,298.15,100.0,59,7,19.916,"[19.916, 26.1179, 42.0483, 56.3764, 67.51, 83.1211, 88.8976]",0.05315369996242225
B_00388_LB_00143_Cl_00483,388,143,483,0,-1924.33458,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00143_Cl_00483_0000.log,True,ok,,,-1924.46445439,-1924.4195938478551,-1924.4148899751203,-1924.41538318044,-1924.4191454379252,0.04486054214470539,0.04956441487958274,298.15,100.0,53,7,20.7141,"[20.7141, 26.2005, 37.7603, 60.5656, 61.9167, 88.1786, 97.1579]",0.312794900033623
B_00388_LB_00143_Cl_00485,388,143,485,0,-1946.302429,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00143_Cl_00485_0000.log,True,ok,,,-1946.50110064,-1946.441020364426,-1946.4356820799353,-1946.4365017324237,-1946.4402670451166,0.06008027557380384,0.06541856006461703,298.15,100.0,59,7,11.5486,"[11.5486, 30.2361, 30.8958, 60.8501, 64.2545, 82.5219, 96.481]",0.15326260006986558
B_00388_LB_00143_Cl_00492,388,143,492,11,-1794.912201,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00143_Cl_00492_0011.log,True,ok,,,-1795.04282813,-1794.9950503072812,-1794.9896615527414,-1794.9905855798427,-1794.9940941517496,0.04777782271898377,0.05316657725881019,298.15,100.0,50,7,16.0295,"[16.0295, 22.3269, 26.0712, 59.854, 67.5116, 87.788, 96.2378]",0.11148239998146892
B_00388_LB_00143_Cl_00618,388,143,618,10,-2716.34701,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00143_Cl_00618_0010.log,True,ok,,,-2716.4875478,-2716.434261114946,-2716.4269468421426,-2716.428594736339,-2716.4326633655623,0.05328668505382303,0.060600957857140994,298.15,100.0,59,8,6.1029,"[6.1029, 15.8708, 25.2597, 52.584, 58.2332, 73.2248, 79.7926, 93.8742]",0.26729669980704784
