identifier,B_Index,N_Index,N_Atomid,Cl_Index,bep_outlier_2sigma,deltaG(kcal/mol),deltaGa(kcal/mol),bep_abs_residual(kcal/mol),s2_before_annihilation,spin_contamination_before,reactant_bn_s2_before_annihilation,reactant_bn_spin_contamination_before,B_smiles,N_smiles,Cl_smiles
B_00423_Nu_00088_Cl_00488_0010,423,88,2,488,True,-17.48811125,32.15953815,9.938737008936648,0.8323,0.0823,0.7612,0.0111999999999999,N#CBC#N,COP(OC)c1ccccc1,CN1CN(C)C(Cl)=C1Cl
B_00429_Nu_00315_Cl_00488_0000,429,315,1,488,False,-15.01262375,31.8759458,8.517537261373949,0.8248,0.0747999999999999,0.7732,0.0232,Bc1nc(F)c(F)c(F)n1,c1ncncn1,CN1CN(C)C(Cl)=C1Cl
B_00417_Nu_00258_Cl_00488_0000,417,258,9,488,True,-10.20597375,36.89478492,11.327485971911267,0.8209,0.0708999999999999,0.7835,0.0334999999999999,Bc1c(F)c(F)c(F)c(F)c1F,C#Cc1cccc(C#C)n1,CN1CN(C)C(Cl)=C1Cl
B_00420_Nu_00143_Cl_00488_0010,420,143,2,488,False,-22.28095625,28.56024835,8.541993546727237,0.8161,0.0661,0.7618,0.0118,Bc1nccs1,N#CP(C#N)C#N,CN1CN(C)C(Cl)=C1Cl
B_00417_Nu_00328_Cl_00488_0000,417,328,3,488,False,-13.03348875,32.83528035,8.56736262711216,0.8155,0.0655,0.7729,0.0229,Bc1c(F)c(F)c(F)c(F)c1F,Fc1cnc(F)nc1,CN1CN(C)C(Cl)=C1Cl
B_00431_Nu_00143_Cl_00488_0001,431,143,2,488,False,-25.78930875,15.94565978,2.460335717880355,0.8151,0.0651,0.7529,0.0029,BC(F)(F)c1ccccc1,N#CP(C#N)C#N,CN1CN(C)C(Cl)=C1Cl
B_00396_Nu_00304_Cl_00488_0000,396,304,3,488,True,-11.5418585,36.58195735,11.628562682943269,0.8128,0.0627999999999999,0.7696,0.0195999999999999,BOC(C)=O,Cc1cnncc1C,CN1CN(C)C(Cl)=C1Cl
B_00389_Nu_00317_Cl_00488_0000,389,317,2,488,True,-15.79059825,34.04269702,11.041805756785417,0.8126,0.0625999999999999,0.7755,0.0254999999999999,BC#N,Fc1ncnc(F)c1F,CN1CN(C)C(Cl)=C1Cl
B_00417_Nu_00143_Cl_00488_0000,417,143,2,488,False,-19.47038375,25.93671477,4.626864647669361,0.8109,0.0608999999999999,0.7584,0.0083999999999999,Bc1c(F)c(F)c(F)c(F)c1F,N#CP(C#N)C#N,CN1CN(C)C(Cl)=C1Cl
B_00401_Nu_00143_Cl_00488_0010,401,143,2,488,False,-24.33601875,27.7722213,8.698368075185503,0.8086,0.0585999999999999,0.758,0.008,B1C=CC=C1,N#CP(C#N)C#N,CN1CN(C)C(Cl)=C1Cl
B_00415_Nu_00143_Cl_00488_0000,415,143,2,488,False,-21.76577875,25.21246055,4.957456526600755,0.8076,0.0575999999999999,0.7526,0.0026,B[Si](C)(C)C,N#CP(C#N)C#N,CN1CN(C)C(Cl)=C1Cl
B_00421_Nu_00143_Cl_00488_0000,421,143,2,488,False,-24.4156485,25.48010812,6.442848654057666,0.8067,0.0566999999999999,0.7535,0.0034999999999999,BC(=O)OC,N#CP(C#N)C#N,CN1CN(C)C(Cl)=C1Cl
B_00429_Nu_00191_Cl_00488_0000,429,191,2,488,True,-14.55643125,34.37057833,10.802527059300925,0.8064,0.0564,0.7569,0.0069,Bc1nc(F)c(F)c(F)n1,CN1[C]N(C)c2ccccc2C1=O,CN1CN(C)C(Cl)=C1Cl
B_00396_Nu_00178_Cl_00488_0010,396,178,2,488,True,-11.41868025,36.43851712,11.42851603161461,0.8053,0.0553,0.7552,0.0051999999999999,BOC(C)=O,CN1[C]c2ccccc2C1(C)C,CN1CN(C)C(Cl)=C1Cl
B_00417_Nu_00284_Cl_00488_0000,417,284,7,488,True,-18.75691625,32.0987334,10.461010118980193,0.8038,0.0537999999999999,0.7797,0.0296999999999999,Bc1c(F)c(F)c(F)c(F)c1F,COc1c(C#N)cncc1C#N,CN1CN(C)C(Cl)=C1Cl
B_00423_Nu_00382_Cl_00488_0000,423,382,5,488,True,-16.4589485,32.3098495,9.616097815782634,0.8031,0.0531,0.7772,0.0272,N#CBC#N,c1ccc2cnccc2c1,CN1CN(C)C(Cl)=C1Cl
