key,barrier_kcal,delta_g_rxn_kcal,barrier_qharm_kcal,delta_g_rxn_qharm_kcal,reactant_complex_key,reactant_cl_key,product_complex_key,product_c_radical_key,barrier_aarontools_rrho_kcal,delta_g_rxn_aarontools_rrho_kcal,barrier_qrrho_kcal,delta_g_rxn_qrrho_kcal,barrier_full_qrrho_kcal,delta_g_rxn_full_qrrho_kcal,delta_barrier_qharm_vs_original,delta_barrier_qharm_vs_at_rrho,delta_barrier_at_rrho_vs_original,delta_rxn_qharm_vs_original
B_00388_LB_00000_Cl_00500,15.69012923,-33.51044525,14.545776492699032,-31.95429310363455,B_00388_LB_00000_r,Cl_00500_r,B_00388_LB_00000_p,Cl_00500_p,11.740260819745242,-31.828386492578332,13.907324963090634,-31.79954506995973,12.552274718788809,-31.929471512206657,-1.1443527373009683,2.8055156729537902,-3.9498684102547585,1.556152146365445
B_00388_LB_00001_Cl_00466,9.890297325,-41.28090325,9.404658515445162,-43.52244927228614,B_00388_LB_00001_r,Cl_00466_r,B_00388_LB_00001_p,Cl_00466_p,7.1939150870051165,-43.537095626546176,8.98606266395162,-43.53950194283954,7.7443155201386045,-43.52639189430349,-0.48563880955483896,2.210743428440045,-2.696382237994884,-2.241546022286137
B_00388_LB_00001_Cl_00474,12.49376972,-23.9563185,8.268202769713648,-25.620506548985304,B_00388_LB_00001_r,Cl_00474_r,B_00388_LB_00001_p,Cl_00474_p,6.440180214470711,-25.510839492573822,7.950991367349749,-25.57105090429858,6.842782337411065,-25.563777276493372,-4.2255669502863515,1.8280225552429368,-6.053589505529288,-1.6641880489853058
B_00388_LB_00001_Cl_00475,14.91429701,-28.1610705,11.353406828765914,-29.443907426159743,B_00388_LB_00001_r,Cl_00475_r,B_00388_LB_00001_p,Cl_00475_p,9.368439395716008,-29.443907426159743,10.939100679413256,-29.377085176728723,9.858047053366356,-29.517687873285688,-3.560890181234086,1.9849674330499063,-5.545857614283992,-1.2828369261597423
B_00388_LB_00001_Cl_00476,14.31253643,-38.6315355,12.129193388121315,-40.00899104251956,B_00388_LB_00001_r,Cl_00476_r,B_00388_LB_00001_p,Cl_00476_p,9.717499097799905,-40.00899104251956,11.618986004174973,-39.95329545418255,10.395553884709194,-40.05403103263301,-2.1833430418786843,2.4116942903214103,-4.595037332200095,-1.377455542519563
B_00388_LB_00001_Cl_00477,13.04671018,-24.14663925,10.896756214631324,-25.6759156951893,B_00388_LB_00001_r,Cl_00477_r,B_00388_LB_00001_p,Cl_00477_p,7.71118280072576,-25.6759156951893,9.965641886097012,-25.691029492122087,8.750438582024168,-25.678335743778746,-2.1499539653686757,3.185573413905564,-5.3355273792742395,-1.5292764451893
B_00388_LB_00001_Cl_00478,12.18955145,-23.25809925,9.960599770742968,-24.832604853406476,B_00388_LB_00001_r,Cl_00478_r,B_00388_LB_00001_p,Cl_00478_p,7.029011861368195,-24.832604853406473,9.167015825659735,-24.82314165831905,7.956045950292008,-24.845242833612204,-2.2289516792570314,2.931587909374773,-5.160539588631805,-1.5745056034064753
B_00388_LB_00001_Cl_00481,12.23456516,-25.28228875,10.390775192635196,-26.019398389111892,B_00388_LB_00001_r,Cl_00481_r,B_00388_LB_00001_p,Cl_00481_p,7.920164955073752,-26.00598062819401,9.819043302902713,-25.956071146788233,8.610628878838021,-26.019368244934245,-1.8437899673648044,2.470610237561444,-4.314400204926248,-0.7371096391118925
B_00388_LB_00001_Cl_00484,13.0439931,-35.38202675,10.25049085560519,-36.97084418546606,B_00388_LB_00001_r,Cl_00484_r,B_00388_LB_00001_p,Cl_00484_p,7.983537332158435,-36.973824415954795,9.73704307696688,-36.96618772739216,8.630010572045398,-36.982887983976575,-2.7935022443948103,2.2669535234467544,-5.060455767841565,-1.588817435466062
B_00388_LB_00001_Cl_00486,17.12485213,-20.76968525,14.03901143208865,-22.2847617791561,B_00388_LB_00001_r,Cl_00486_r,B_00388_LB_00001_p,Cl_00486_p,11.425889687057484,-22.2847617791561,13.391840350832926,-22.23805958232211,12.193867895588593,-22.292803606194013,-3.085840697911351,2.6131217450311652,-5.698962442942516,-1.5150765291561008
B_00388_LB_00001_Cl_00487,14.82288971,-27.62757,11.847228057752698,-28.5315051426472,B_00388_LB_00001_r,Cl_00487_r,B_00388_LB_00001_p,Cl_00487_p,9.19878625417519,-28.5315051426472,11.14730409039775,-28.474222207194344,10.037653401224965,-28.545503322573573,-2.975661652247302,2.6484418035775086,-5.624103455824811,-0.9039351426472031
B_00388_LB_00001_Cl_00488,12.8162357,-46.6472205,9.9724637014434,-46.10180305686371,B_00388_LB_00001_r,Cl_00488_r,B_00388_LB_00001_p,Cl_00488_p,7.446589464306406,-46.06053135469646,9.369956911953297,-46.02533397174214,8.174541004572493,-46.149655403549296,-2.8437719985565995,2.5258742371369944,-5.369646235693594,0.5454174431362944
B_00388_LB_00001_Cl_00490,11.92028493,-25.6139225,8.98494135390502,-27.53869055031782,B_00388_LB_00001_r,Cl_00490_r,B_00388_LB_00001_p,Cl_00490_p,6.935771066735897,-27.53869055031782,8.55055877025116,-27.4730788142856,7.465700545488176,-27.60259892112197,-2.9353435760949793,2.0491702871691233,-4.984513863264103,-1.9247680503178195
B_00388_LB_00001_Cl_00491,9.49335965,-61.03962325,7.553270798794589,-64.30065088900105,B_00388_LB_00001_r,Cl_00491_r,B_00388_LB_00001_p,Cl_00491_p,6.2560089719459855,-63.81924186839433,7.533883596032394,-64.08126298079354,6.328270837021497,-64.04128130204218,-1.9400888512054113,1.2972618268486036,-3.237350678054015,-3.2610276390010497
B_00388_LB_00001_Cl_00493,14.27420999,-34.67495975,11.07831158965721,-35.98585710598289,B_00388_LB_00001_r,Cl_00493_r,B_00388_LB_00001_p,Cl_00493_p,8.861185920312108,-35.98585710598289,10.575947916776647,-35.898215793758595,9.461228137332466,-36.043957497429695,-3.1958984003427897,2.2171256693451014,-5.413024069687891,-1.3108973559828883
B_00388_LB_00001_Cl_00495,13.80387928,-34.00046,11.302211412058174,-36.15359103672876,B_00388_LB_00001_r,Cl_00495_r,B_00388_LB_00001_p,Cl_00495_p,8.707326239037583,-35.89952535080421,10.603706401189987,-36.090684066000215,9.513044308083593,-35.993697606340085,-2.5016678679418263,2.5948851730205913,-5.096553040962418,-2.153131036728766
B_00388_LB_00001_Cl_00497,14.4296888,-34.0407455,11.765278377826776,-35.57615874913388,B_00388_LB_00001_r,Cl_00497_r,B_00388_LB_00001_p,Cl_00497_p,9.035720683368654,-35.57615874913388,11.051231736079812,-35.53937297194154,9.879090571912945,-35.61861120953695,-2.6644104221732228,2.729557694458123,-5.393968116631346,-1.5354132491338817
B_00388_LB_00001_Cl_00498,13.34374358,-35.142008,11.481938296391869,-37.29084503098901,B_00388_LB_00001_r,Cl_00498_r,B_00388_LB_00001_p,Cl_00498_p,8.786726382424032,-36.76469186609832,10.651197830800818,-37.14725853354063,9.673787963725953,-36.93991305091366,-1.8618052836081311,2.695211913967837,-4.557017197575968,-2.1488370309890144
B_00388_LB_00001_Cl_00501,12.92455098,-35.400538,10.575497639045947,-37.22969619701238,B_00388_LB_00001_r,Cl_00501_r,B_00388_LB_00001_p,Cl_00501_p,8.116791340341939,-37.04331197334528,10.016629056399978,-37.121474201020234,8.812537086543058,-37.11915298020407,-2.349053340954052,2.4587062987040085,-4.807759639658061,-1.829158197012383
B_00388_LB_00001_Cl_00506,13.15237804,-38.0891245,10.521973152742804,-40.214517646391,B_00388_LB_00001_r,Cl_00506_r,B_00388_LB_00001_p,Cl_00506_p,8.318345809159531,-40.214517646391,10.055094986494522,-40.079876540901594,8.898036992684634,-40.40576308481913,-2.630404887257196,2.203627343583273,-4.834032230840469,-2.125393146391005
B_00388_LB_00001_Cl_00507,13.23839574,-36.95278475,11.027666817747305,-39.2422802377676,B_00388_LB_00001_r,Cl_00507_r,B_00388_LB_00001_p,Cl_00507_p,8.332621898293215,-39.49637841936464,10.350151946378881,-39.1014299797841,9.138527753056596,-39.56587273546578,-2.210728922252695,2.695044919454089,-4.905773841706784,-2.289495487767603
B_00388_LB_00001_Cl_00508,15.00032475,-30.51137175,12.011762361801347,-33.17543889781971,B_00388_LB_00001_r,Cl_00508_r,B_00388_LB_00001_p,Cl_00508_p,9.675060991845283,-33.17543889781971,11.539498111265377,-33.108525285587774,10.307231763651957,-33.20638832726158,-2.9885623881986536,2.3367013699560637,-5.325263758154717,-2.6640671478197113
B_00388_LB_00001_Cl_00517,12.85733946,-35.9995495,11.041669514609747,-37.01995518135306,B_00388_LB_00001_r,Cl_00517_r,B_00388_LB_00001_p,Cl_00517_p,8.375556733382618,-36.99900236585906,10.384254702710479,-37.03939431204393,9.144543893496587,-36.998982206438654,-1.815669945390253,2.6661127812271292,-4.481782726617382,-1.0204056813530613
B_00388_LB_00001_Cl_00519,5.8188075,-42.70765,3.733998260436063,-44.376250577886665,B_00388_LB_00001_r,Cl_00519_r,B_00388_LB_00001_p,Cl_00519_p,0.9265229653904318,-44.295812734641025,2.905954743258229,-44.36997057928062,1.8786388284223223,-44.31325458600717,-2.084809239563937,2.807475295045631,-4.892284534609568,-1.6686005778866644
B_00388_LB_00001_Cl_00525,13.47356077,-37.2563065,11.138495831850276,-37.00000725144327,B_00388_LB_00001_r,Cl_00525_r,B_00388_LB_00001_p,Cl_00525_p,9.290185188366905,-37.000007251443265,10.861856381166694,-36.931469013318996,9.698502448209712,-37.07075900518594,-2.335064938149724,1.8483106434833712,-4.183375581633095,0.25629924855672925
B_00388_LB_00001_Cl_00529,12.22141465,-34.92420275,10.342655742831983,-36.580689246056274,B_00388_LB_00001_r,Cl_00529_r,B_00388_LB_00001_p,Cl_00529_p,7.763112179380859,-36.525136021533854,9.697192112136019,-36.50093784418781,8.509871901156805,-36.58528011246275,-1.8787589071680166,2.579543563451124,-4.458302470619141,-1.6564864960562744
B_00388_LB_00001_Cl_00550,12.17669648,-35.17507725,9.301139342467437,-36.72555589766207,B_00388_LB_00001_r,Cl_00550_r,B_00388_LB_00001_p,Cl_00550_p,7.697534861693809,-36.66457869669788,9.13818739369106,-36.64025797595203,7.964858536154983,-36.71214687027675,-2.8755571375325637,1.6036044807736278,-4.4791616183061915,-1.550478647662068
B_00388_LB_00001_Cl_00552,10.10568482,-46.42075575,9.098366713933494,-49.29153533550087,B_00388_LB_00001_r,Cl_00552_r,B_00388_LB_00001_p,Cl_00552_p,7.252195148152031,-48.82540428058041,8.787477519443664,-49.21115846960807,7.650398497601024,-48.9494710430432,-1.0073181060665064,1.8461715657814635,-2.85348967184797,-2.8707795855008698
B_00388_LB_00001_Cl_00553,13.45282253,-36.77944415,10.71420364649549,-36.33605451422892,B_00388_LB_00001_r,Cl_00553_r,B_00388_LB_00001_p,Cl_00553_p,8.845062005679884,-36.33605451422892,10.398507033413901,-36.270079273136446,9.268736989487735,-36.39783356900958,-2.738618883504511,1.8691416408156059,-4.607760524320117,0.4433896357710836
B_00388_LB_00001_Cl_00554,12.63407873,-34.8928905,9.92307970115839,-36.40767666220518,B_00388_LB_00001_r,Cl_00554_r,B_00388_LB_00001_p,Cl_00554_p,7.661418292379263,-36.454956335861205,9.433504155944366,-36.40541425472742,8.296881036529303,-36.45206188735035,-2.710999028841611,2.2616614087791262,-4.972660437620737,-1.5147861622051835
B_00388_LB_00001_Cl_00555,13.69536885,-36.62773975,10.780868534394596,-38.25034320587408,B_00388_LB_00001_r,Cl_00555_r,B_00388_LB_00001_p,Cl_00555_p,8.50730326986863,-38.250343205874074,10.232579829798286,-38.10726359174918,9.148059991291074,-38.40932201977256,-2.9145003156054035,2.273565264525965,-5.188065580131369,-1.6226034558740778
B_00388_LB_00001_Cl_00557,12.35035774,-36.13163825,10.601381049812852,-36.96051448400881,B_00388_LB_00001_r,Cl_00557_r,B_00388_LB_00001_p,Cl_00557_p,7.907323667158842,-36.96051448400881,9.876759808288165,-36.86688499317346,8.734721788893195,-37.04026278175,-1.7489766901871473,2.6940573826540106,-4.443034072841158,-0.8288762340088098
B_00388_LB_00001_Cl_00558,14.51878815,-36.209762,11.220176121512024,-38.679960155377074,B_00388_LB_00001_r,Cl_00558_r,B_00388_LB_00001_p,Cl_00558_p,9.638036045113777,-37.882709741389,11.03279968894522,-38.23933746613211,9.884126594725224,-38.36500246091601,-3.2986120284879767,1.5821400763982467,-4.8807521048862235,-2.4701981553770764
B_00388_LB_00001_Cl_00560,13.8705681,-37.47511575,11.175202489966354,-38.952870534830296,B_00388_LB_00001_r,Cl_00560_r,B_00388_LB_00001_p,Cl_00560_p,8.820832568334009,-39.13522195434897,10.66495206286378,-38.88621042026167,9.455563302815301,-39.159000916496225,-2.6953656100336456,2.3543699216323457,-5.049735531665991,-1.4777547848302959
B_00388_LB_00001_Cl_00562,12.92489862,-38.09420725,10.256908485715597,-39.03296830171446,B_00388_LB_00001_r,Cl_00562_r,B_00388_LB_00001_p,Cl_00562_p,8.07559008728194,-40.19503947747589,9.825123746046824,-39.40176771533984,8.628907116509115,-39.72717588072826,-2.6679901342844037,2.181318398433657,-4.8493085327180605,-0.9387610517144651
B_00388_LB_00001_Cl_00566,10.52209068,-48.2380585,9.331823401986474,-51.25055157435091,B_00388_LB_00001_r,Cl_00566_r,B_00388_LB_00001_p,Cl_00566_p,7.624629205102317,-50.69900688636832,9.118749161522043,-50.9988924565484,7.930683400124749,-51.00605850442813,-1.1902672780135255,1.7071941968841573,-2.897461474897683,-3.012493074350907
B_00388_LB_00001_Cl_00573,12.20948963,-37.35633,10.72893093306958,-38.62989724831468,B_00388_LB_00001_r,Cl_00573_r,B_00388_LB_00001_p,Cl_00573_p,8.137642201606097,-38.56610704544062,10.120594790602281,-38.58980604513524,8.873768628404246,-38.63006848360902,-1.4805586969304194,2.591288731463484,-4.0718474283939035,-1.2735672483146772
B_00388_LB_00001_Cl_00582,11.53621351,-37.498396,10.348976677437449,-38.65203943743872,B_00388_LB_00001_r,Cl_00582_r,B_00388_LB_00001_p,Cl_00582_p,7.575593227550548,-38.65203943743872,9.654471294109024,-38.53148566364938,8.406308545872628,-38.76620549329903,-1.1872368325625509,2.773383449886901,-3.960620282449452,-1.153643437438717
B_00388_LB_00001_Cl_00583,12.99010967,-39.63898675,11.321134207574884,-41.60025530902139,B_00388_LB_00001_r,Cl_00583_r,B_00388_LB_00001_p,Cl_00583_p,8.061277919231964,-41.88686249760735,10.395175976903612,-41.45567502642555,9.125211697179438,-41.96694572142126,-1.6689754624251165,3.2598562883429203,-4.928831750768037,-1.9612685590213914
B_00388_LB_00001_Cl_00596,11.72988887,-25.1694015,9.734997409226128,-26.695713787236325,B_00388_LB_00001_r,Cl_00596_r,B_00388_LB_00001_p,Cl_00596_p,6.9125691637175075,-26.695713787236325,9.035676727922029,-26.63254515239013,7.774339838968523,-26.7198245687608,-1.9948914607738715,2.822428245508621,-4.817319706282492,-1.5263122872363262
