key,barrier_kcal,delta_g_rxn_kcal,barrier_qharm_kcal,delta_g_rxn_qharm_kcal,reactant_complex_key,reactant_cl_key,product_complex_key,product_c_radical_key,barrier_aarontools_rrho_kcal,delta_g_rxn_aarontools_rrho_kcal,barrier_qrrho_kcal,delta_g_rxn_qrrho_kcal,barrier_full_qrrho_kcal,delta_g_rxn_full_qrrho_kcal,delta_barrier_qharm_vs_original,delta_barrier_qharm_vs_at_rrho,delta_barrier_at_rrho_vs_original,delta_rxn_qharm_vs_original,abs_delta
B_00409_LB_00354_Cl_00476,53.64741597,-35.24836925,17.343814035129338,-33.42431142326363,B_00409_LB_00354_r,Cl_00476_r,B_00409_LB_00354_p,Cl_00476_p,15.104548922662831,-33.820314031228556,16.871751945304975,-33.549049731544535,15.695709224886851,-33.65448716807042,-36.303601934870656,2.239265112466507,-38.54286704733717,1.8240578267363716,36.303601934870656
B_00439_LB_00143_Cl_00485,51.6327582,-5.27771425,23.227764261027676,-5.086167998974823,B_00439_LB_00143_r,Cl_00485_r,B_00439_LB_00143_p,Cl_00485_p,20.890609714172218,-5.488555689870504,22.778503762938264,-5.161208645510988,21.46057171431569,-5.38760280474749,-28.40499393897232,2.3371545468554586,-30.74214848582778,0.19154625102517642,28.40499393897232
B_00421_LB_00143_Cl_00485,49.03331435,-4.216298,24.503907462676075,-3.144889656357797,B_00421_LB_00143_r,Cl_00485_r,B_00421_LB_00143_p,Cl_00485_p,21.428951796379444,-3.7322840370404227,23.74120572368869,-3.2174022227995804,22.326834319407055,-3.5642997832420025,-24.529406887323923,3.0749556662966313,-27.604362553620554,1.071408343642203,24.529406887323923
B_00422_LB_00292_Cl_00590,30.95369023,-5.08256175,14.700971640765438,-9.927937960463812,B_00422_LB_00292_r,Cl_00590_r,B_00422_LB_00292_p,Cl_00590_p,13.347822561629537,-8.886400200390627,14.649496783546564,-9.518810907780743,13.449787032334932,-9.394532920058191,-16.25271858923456,1.3531490791359015,-17.605867668370465,-4.845376210463812,16.25271858923456
B_00402_LB_00184_Cl_00619,27.5439619,-19.636232,12.535199584618292,-17.1984631313938,B_00402_LB_00184_r,Cl_00619_r,B_00402_LB_00184_p,Cl_00619_p,10.03269549031693,-17.65024710546457,12.055026039553166,-17.32915468237202,10.6422450619025,-17.55236562928976,-15.008762315381707,2.5025040943013614,-17.511266409683067,2.4377688686061987,15.008762315381707
B_00422_LB_00258_Cl_00533,36.55617337,-4.43535825,21.590705311828703,-7.333928701147828,B_00422_LB_00258_r,Cl_00533_r,B_00422_LB_00258_p,Cl_00533_p,20.898692440826373,-6.905707349060223,21.687863516504397,-7.246743907011581,20.754666629040724,-7.057447458154777,-14.9654680581713,0.6920128710023299,-15.65748092917363,-2.898570451147828,14.9654680581713
B_00424_LB_00184_Cl_00549,24.07859315,-35.500938,9.491991230748324,-33.12238976831561,B_00424_LB_00184_r,Cl_00549_r,B_00424_LB_00184_p,Cl_00549_p,6.4552505317917905,-32.925328547265536,8.847134201538278,-32.97721076739875,7.2790771996513906,-33.08863853128348,-14.586601919251676,3.0367406989565335,-17.62334261820821,2.378548231684391,14.586601919251676
B_00422_LB_00254_Cl_00446,31.82080738,-7.96674,17.66822019541129,-11.019153640554492,B_00422_LB_00254_r,Cl_00446_r,B_00422_LB_00254_p,Cl_00446_p,16.644666750494473,-10.501642298357682,17.75146886784892,-10.77257912502765,16.571838088272898,-10.82139369052876,-14.152587184588711,1.0235534449168178,-15.176140629505529,-3.0524136405544926,14.152587184588711
B_00422_LB_00279_Cl_00460,30.71512728,-14.289932,16.837234735476713,-16.9131791547461,B_00422_LB_00279_r,Cl_00460_r,B_00422_LB_00279_p,Cl_00460_p,16.413497075649566,-16.059743509374165,16.997717973731714,-16.652021203176346,16.20596267129395,-16.42367724409371,-13.877892544523288,0.42373765982714673,-14.301630204350435,-2.6232471547460996,13.877892544523288
B_00422_LB_00312_Cl_00607,32.17769173,-9.925544,18.622766375935367,-12.50110610742427,B_00422_LB_00312_r,Cl_00607_r,B_00422_LB_00312_p,Cl_00607_p,17.564695949191545,-11.868718840575303,18.50234798595463,-12.333120404148513,17.642781834754242,-12.122579373450082,-13.554925354064633,1.0580704267438215,-14.612995780808454,-2.57556210742427,13.554925354064633
