scenario,fold,train_size,test_size,R2,MAE,RMSE,MSE,runtime_s
original_target_original_features,1,7389,1848,0.8915841293848474,1.4151595973765299,2.076187477551573,4.310554441941964,
original_target_original_features,2,7389,1848,0.9034602571352549,1.4299650863109101,1.9870826042705885,3.9484972761947845,
original_target_original_features,3,7390,1847,0.903908615552186,1.4043940215548931,1.9339369058251605,3.740111955712596,
original_target_original_features,4,7390,1847,0.9139701751829922,1.3376212461502277,1.8544372992825042,3.4389376969701884,
original_target_original_features,5,7390,1847,0.9169114844324011,1.36984189138091,1.8618838448960906,3.4666114518850497,
original_target_original_features,overall,9237,9237,0.9060959775779942,1.3914031166272913,1.9444840035277942,3.781018039975479,80.9165955
qharm_target_original_features,1,7389,1848,0.8825005080112687,1.3034784353001312,1.7663250989569226,3.119904355205182,
qharm_target_original_features,2,7389,1848,0.8841728469192515,1.310956273279278,1.8117024169229754,3.2822656474845506,
qharm_target_original_features,3,7390,1847,0.8707209909770031,1.3044187805880725,1.8297758987522301,3.3480798396545315,
qharm_target_original_features,4,7390,1847,0.8820624166377911,1.2796474833703084,1.75727675140456,3.0880215810269633,
qharm_target_original_features,5,7390,1847,0.8865851829824407,1.2810781423871171,1.7504540170911955,3.0640892659507033,
qharm_target_original_features,overall,9237,9237,0.8813670319864629,1.2959182699983633,1.7833890772829717,3.180476600972209,79.30568009999999
qharm_target_qharm_rxn_feature,1,7389,1848,0.8902760083368717,1.2552386813830028,1.706881789331762,2.9134454427523977,
qharm_target_qharm_rxn_feature,2,7389,1848,0.8865952024602739,1.3036681496282216,1.7926577645738377,3.2136218608868687,
qharm_target_qharm_rxn_feature,3,7390,1847,0.8856765158781015,1.2394488788569016,1.7206859853429537,2.9607602601556517,
qharm_target_qharm_rxn_feature,4,7390,1847,0.8890463269932856,1.2460327503414805,1.7044524617762205,2.905158194455018,
qharm_target_qharm_rxn_feature,5,7390,1847,0.8924148313418268,1.2398769908672578,1.7048729140093697,2.9065916529228,
qharm_target_qharm_rxn_feature,overall,9237,9237,0.88884736148204,1.256857983649451,1.72624841412924,2.979933587283716,83.0058171
