key,barrier_qharm_kcal,delta_g_rxn_qharm_kcal,reactant_complex_key,reactant_cl_key,product_complex_key,product_c_radical_key
B_00388_LB_00000_Cl_00500,14.545776492699032,-31.95429310363455,B_00388_LB_00000_r,Cl_00500_r,B_00388_LB_00000_p,Cl_00500_p
B_00388_LB_00001_Cl_00466,9.404658515445162,-43.52244927228614,B_00388_LB_00001_r,Cl_00466_r,B_00388_LB_00001_p,Cl_00466_p
B_00388_LB_00001_Cl_00474,8.268202769713648,-25.620506548985304,B_00388_LB_00001_r,Cl_00474_r,B_00388_LB_00001_p,Cl_00474_p
B_00388_LB_00001_Cl_00475,11.353406828765914,-29.443907426159743,B_00388_LB_00001_r,Cl_00475_r,B_00388_LB_00001_p,Cl_00475_p
B_00388_LB_00001_Cl_00476,12.129193388121315,-40.00899104251956,B_00388_LB_00001_r,Cl_00476_r,B_00388_LB_00001_p,Cl_00476_p
B_00388_LB_00001_Cl_00477,10.896756214631324,-25.6759156951893,B_00388_LB_00001_r,Cl_00477_r,B_00388_LB_00001_p,Cl_00477_p
B_00388_LB_00001_Cl_00478,9.960599770742968,-24.832604853406473,B_00388_LB_00001_r,Cl_00478_r,B_00388_LB_00001_p,Cl_00478_p
B_00388_LB_00001_Cl_00481,10.390775192635196,-26.019398389111895,B_00388_LB_00001_r,Cl_00481_r,B_00388_LB_00001_p,Cl_00481_p
B_00388_LB_00001_Cl_00484,10.25049085560519,-36.97084418546606,B_00388_LB_00001_r,Cl_00484_r,B_00388_LB_00001_p,Cl_00484_p
B_00388_LB_00001_Cl_00486,14.03901143208865,-22.2847617791561,B_00388_LB_00001_r,Cl_00486_r,B_00388_LB_00001_p,Cl_00486_p
B_00388_LB_00001_Cl_00487,11.847228057752698,-28.5315051426472,B_00388_LB_00001_r,Cl_00487_r,B_00388_LB_00001_p,Cl_00487_p
B_00388_LB_00001_Cl_00488,9.9724637014434,-46.10180305686371,B_00388_LB_00001_r,Cl_00488_r,B_00388_LB_00001_p,Cl_00488_p
B_00388_LB_00001_Cl_00490,8.98494135390502,-27.53869055031782,B_00388_LB_00001_r,Cl_00490_r,B_00388_LB_00001_p,Cl_00490_p
B_00388_LB_00001_Cl_00491,7.553270798794589,-64.30065088900105,B_00388_LB_00001_r,Cl_00491_r,B_00388_LB_00001_p,Cl_00491_p
B_00388_LB_00001_Cl_00493,11.07831158965721,-35.98585710598289,B_00388_LB_00001_r,Cl_00493_r,B_00388_LB_00001_p,Cl_00493_p
B_00388_LB_00001_Cl_00495,11.302211412058174,-36.15359103672876,B_00388_LB_00001_r,Cl_00495_r,B_00388_LB_00001_p,Cl_00495_p
B_00388_LB_00001_Cl_00497,11.765278377826776,-35.57615874913388,B_00388_LB_00001_r,Cl_00497_r,B_00388_LB_00001_p,Cl_00497_p
B_00388_LB_00001_Cl_00498,11.481938296391867,-37.29084503098901,B_00388_LB_00001_r,Cl_00498_r,B_00388_LB_00001_p,Cl_00498_p
B_00388_LB_00001_Cl_00501,10.575497639045949,-37.22969619701238,B_00388_LB_00001_r,Cl_00501_r,B_00388_LB_00001_p,Cl_00501_p
B_00388_LB_00001_Cl_00506,10.521973152742804,-40.214517646391,B_00388_LB_00001_r,Cl_00506_r,B_00388_LB_00001_p,Cl_00506_p
B_00388_LB_00001_Cl_00507,11.027666817747305,-39.2422802377676,B_00388_LB_00001_r,Cl_00507_r,B_00388_LB_00001_p,Cl_00507_p
B_00388_LB_00001_Cl_00508,12.011762361801347,-33.17543889781971,B_00388_LB_00001_r,Cl_00508_r,B_00388_LB_00001_p,Cl_00508_p
B_00388_LB_00001_Cl_00517,11.041669514609747,-37.01995518135306,B_00388_LB_00001_r,Cl_00517_r,B_00388_LB_00001_p,Cl_00517_p
B_00388_LB_00001_Cl_00519,3.733998260436063,-44.376250577886665,B_00388_LB_00001_r,Cl_00519_r,B_00388_LB_00001_p,Cl_00519_p
