component_key,component_type,spin_metric_label,spin_metric_value,max_abs_spin_density,spin_contamination_before,n_reactions,outlier_fraction,mean_abs_bep_residual,median_abs_bep_residual
BN_00388_00000,BN_radical_complex_r,BN B-atom spin density,1.10245,1.10245,0.0029,1,0.0,0.8323730183173552,0.8323730183173552
BN_00388_00001,BN_radical_complex_r,BN B-atom spin density,1.100749,1.100749,0.0026,41,0.0,2.337992683155209,1.3965539626019332
BN_00388_00002,BN_radical_complex_r,BN B-atom spin density,1.076253,1.076253,0.0027,13,0.0,2.049034289216494,1.0322119899174602
BN_00388_00003,BN_radical_complex_r,BN B-atom spin density,1.083807,1.083807,0.0028,1,0.0,5.458532936714531,5.458532936714531
BN_00388_00006,BN_radical_complex_r,BN B-atom spin density,1.035904,1.035904,0.0029,1,0.0,0.543744534301144,0.543744534301144
BN_00388_00013,BN_radical_complex_r,BN B-atom spin density,1.105091,1.105091,0.0026,2,0.0,2.127823853334881,2.127823853334881
BN_00388_00014,BN_radical_complex_r,BN B-atom spin density,1.103316,1.103316,0.0030999999999999,1,0.0,6.305462338589903,6.305462338589903
BN_00388_00015,BN_radical_complex_r,BN B-atom spin density,1.077067,1.077067,0.0027,2,0.0,3.743573601355777,3.743573601355777
BN_00388_00016,BN_radical_complex_r,BN B-atom spin density,1.108727,1.108727,0.0028,1,0.0,0.9863923064406315,0.9863923064406315
BN_00388_00017,BN_radical_complex_r,BN B-atom spin density,1.091973,1.091973,0.0028,1,0.0,5.68321510170467,5.68321510170467
BN_00388_00018,BN_radical_complex_r,BN B-atom spin density,1.091101,1.091101,0.0029,2,0.0,4.423564947076245,4.423564947076245
BN_00388_00019,BN_radical_complex_r,BN B-atom spin density,1.074994,1.074994,0.0029,1,0.0,1.6776689377604512,1.6776689377604512
BN_00388_00021,BN_radical_complex_r,BN B-atom spin density,1.086783,1.086783,0.003,2,0.0,5.340922601583708,5.340922601583708
BN_00388_00022,BN_radical_complex_r,BN B-atom spin density,1.099741,1.099741,0.0028,1,0.0,0.6147977543073075,0.6147977543073075
BN_00388_00024,BN_radical_complex_r,BN B-atom spin density,1.093356,1.093356,0.0027,2,0.0,2.1437258414987808,2.1437258414987808
BN_00388_00025,BN_radical_complex_r,BN B-atom spin density,1.095017,1.095017,0.0029,2,0.0,3.3853721341171816,3.3853721341171816
BN_00388_00027,BN_radical_complex_r,BN B-atom spin density,0.248119,0.612243,0.0057,5,0.2,4.954629447748911,4.596404557750411
BN_00388_00028,BN_radical_complex_r,BN B-atom spin density,1.104906,1.104906,0.0027,1,0.0,3.113502460809695,3.113502460809695
BN_00388_00029,BN_radical_complex_r,BN B-atom spin density,1.099451,1.099451,0.0028,1,0.0,3.7868297606239043,3.7868297606239043
BN_00388_00030,BN_radical_complex_r,BN B-atom spin density,1.106481,1.106481,0.0031999999999999,2,0.0,2.1764348208129674,2.1764348208129674
BN_00388_00032,BN_radical_complex_r,BN B-atom spin density,1.0837,1.0837,0.0028,1,0.0,2.8661891923582328,2.8661891923582328
BN_00388_00033,BN_radical_complex_r,BN B-atom spin density,1.092141,1.092141,0.0027,3,0.0,2.979099294178909,3.763410274235369
BN_00388_00042,BN_radical_complex_r,BN B-atom spin density,1.074455,1.074455,0.003,1,0.0,2.2347955376093207,2.2347955376093207
BN_00388_00046,BN_radical_complex_r,BN B-atom spin density,0.135455,0.610782,0.0302999999999999,1,1.0,11.703275088871408,11.703275088871408
BN_00388_00051,BN_radical_complex_r,BN B-atom spin density,1.078789,1.078789,0.0029,51,0.0,1.7212918321989183,1.433691349675807
BN_00388_00053,BN_radical_complex_r,BN B-atom spin density,1.088395,1.088395,0.0026,1,0.0,4.162992166367772,4.162992166367772
BN_00388_00054,BN_radical_complex_r,BN B-atom spin density,1.035008,1.035008,0.0038,1,0.0,0.5830688751934101,0.5830688751934101
BN_00388_00055,BN_radical_complex_r,BN B-atom spin density,1.085772,1.085772,0.0028,1,0.0,0.7986678248166754,0.7986678248166754
BN_00388_00056,BN_radical_complex_r,BN B-atom spin density,1.048689,1.048689,0.0029,1,0.0,0.32452644117900675,0.32452644117900675
BN_00388_00058,BN_radical_complex_r,BN B-atom spin density,1.096564,1.096564,0.0028,1,0.0,1.1075808053923737,1.1075808053923737
BN_00388_00063,BN_radical_complex_r,BN B-atom spin density,1.065486,1.065486,0.0029,1,0.0,4.738174171218411,4.738174171218411
BN_00388_00064,BN_radical_complex_r,BN B-atom spin density,1.091867,1.091867,0.0028,1,0.0,2.7793012718775767,2.7793012718775767
BN_00388_00068,BN_radical_complex_r,BN B-atom spin density,1.077708,1.077708,0.003,2,0.0,1.890774860812967,1.890774860812967
BN_00388_00069,BN_radical_complex_r,BN B-atom spin density,0.914036,0.914036,0.0030999999999999,7,0.14285714285714285,4.086204723344907,3.0409814737212066
BN_00388_00070,BN_radical_complex_r,BN B-atom spin density,0.792328,0.792328,0.0026,10,0.0,2.233423972584054,1.6485791553055904
BN_00388_00071,BN_radical_complex_r,BN B-atom spin density,0.709417,0.709417,0.0027,5,0.2,3.075928955942444,1.0789632297814364
BN_00388_00072,BN_radical_complex_r,BN B-atom spin density,0.935812,0.935812,0.0032999999999999,4,0.0,2.548190871191453,2.494946090419539
BN_00388_00073,BN_radical_complex_r,BN B-atom spin density,0.89595,0.89595,0.0031999999999999,1,0.0,2.680013691447636,2.680013691447636
BN_00388_00074,BN_radical_complex_r,BN B-atom spin density,0.726511,0.726511,0.0037,12,0.0,2.40360743356738,2.2226270144161937
BN_00388_00075,BN_radical_complex_r,BN B-atom spin density,0.882447,0.882447,0.0031999999999999,10,0.0,1.7276714394382295,1.120886820336663
BN_00388_00076,BN_radical_complex_r,BN B-atom spin density,0.897876,0.897876,0.0033999999999999,1,0.0,2.63065359194648,2.63065359194648
BN_00388_00077,BN_radical_complex_r,BN B-atom spin density,0.826793,0.826793,0.0028,2,0.0,3.1327068297958096,3.1327068297958096
BN_00388_00078,BN_radical_complex_r,BN B-atom spin density,0.894488,0.894488,0.0033999999999999,4,0.0,1.5437894810772517,1.2833849086641962
BN_00388_00079,BN_radical_complex_r,BN B-atom spin density,0.926977,0.926977,0.0032999999999999,24,0.0,2.7235700699737944,2.329264591909565
