component_type,component_key,log_path,log_found,log_source,target_atom_index,normal_termination,charge,multiplicity,expected_s2,s2_before_annihilation,s2_after_annihilation,s2_final,spin_contamination_before,spin_contamination_after,n_spin_atoms,target_spin_density,max_abs_spin_density,dominant_spin_density,sum_spin_density,total_abs_spin_density,B_Index,N_Index,N_Atomid,Cl_Index
BN_radical_complex_r,BN_00388_00000,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00000_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7529,0.75,0.75,0.0029000000000000137,0.0,25,1.10245,1.10245,1.10245,0.999998,1.3618720000000002,388.0,0.0,2.0,
BN_radical_complex_r,BN_00388_00001,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00001_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7526,0.75,0.75,0.0026000000000000467,0.0,16,1.100749,1.100749,1.100749,1.0,1.261052,388.0,1.0,1.0,
BN_radical_complex_r,BN_00388_00002,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00002_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7527,0.75,0.75,0.0027000000000000357,0.0,24,1.076253,1.076253,1.076253,1.0,1.265832,388.0,2.0,5.0,
BN_radical_complex_r,BN_00388_00003,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00003_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7528,0.75,0.75,0.0028000000000000247,0.0,31,1.083807,1.083807,1.083807,0.999999,1.332879,388.0,3.0,2.0,
BN_radical_complex_r,BN_00388_00006,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00006_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7529,0.75,0.75,0.0029000000000000137,0.0,22,1.035904,1.035904,1.035904,1.000002,1.2216399999999996,388.0,6.0,5.0,
BN_radical_complex_r,BN_00388_00013,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00013_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7526,0.75,0.75,0.0026000000000000467,0.0,19,1.105091,1.105091,1.105091,1.0,1.279498,388.0,13.0,1.0,
BN_radical_complex_r,BN_00388_00014,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00014_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7531,0.75,0.75,0.0030999999999999917,0.0,26,1.103316,1.103316,1.103316,0.9999979999999998,1.35383,388.0,14.0,5.0,
BN_radical_complex_r,BN_00388_00015,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00015_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7527,0.75,0.75,0.0027000000000000357,0.0,22,1.077067,1.077067,1.077067,0.9999979999999999,1.2295999999999998,388.0,15.0,1.0,
BN_radical_complex_r,BN_00388_00016,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00016_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7528,0.75,0.75,0.0028000000000000247,0.0,28,1.108727,1.108727,1.108727,0.9999979999999998,1.350592,388.0,16.0,3.0,
BN_radical_complex_r,BN_00388_00017,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00017_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7528,0.75,0.75,0.0028000000000000247,0.0,23,1.091973,1.091973,1.091973,1.0000010000000004,1.2375270000000003,388.0,17.0,4.0,
BN_radical_complex_r,BN_00388_00018,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00018_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7529,0.75,0.75,0.0029000000000000137,0.0,28,1.091101,1.091101,1.091101,0.999997,1.2396090000000004,388.0,18.0,7.0,
BN_radical_complex_r,BN_00388_00019,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00019_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7529,0.75,0.75,0.0029000000000000137,0.0,28,1.074994,1.074994,1.074994,1.000003,1.557119,388.0,19.0,3.0,
BN_radical_complex_r,BN_00388_00021,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00021_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.753,0.75,0.75,0.0030000000000000027,0.0,18,1.086783,1.086783,1.086783,0.9999989999999999,1.4997150000000001,388.0,21.0,3.0,
BN_radical_complex_r,BN_00388_00022,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00022_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7528,0.75,0.75,0.0028000000000000247,0.0,22,1.099741,1.099741,1.099741,1.0000010000000004,1.2432910000000004,388.0,22.0,3.0,
BN_radical_complex_r,BN_00388_00024,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00024_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7527,0.75,0.75,0.0027000000000000357,0.0,24,1.093356,1.093356,1.093356,0.9999989999999999,1.248235,388.0,24.0,1.0,
BN_radical_complex_r,BN_00388_00025,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00025_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7529,0.75,0.75,0.0029000000000000137,0.0,28,1.095017,1.095017,1.095017,1.0000029999999998,1.289799,388.0,25.0,3.0,
BN_radical_complex_r,BN_00388_00027,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00027_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7557,0.75,0.75,0.005700000000000038,0.0,21,0.248119,0.612243,0.612243,0.9999979999999999,1.0603999999999998,388.0,27.0,4.0,
BN_radical_complex_r,BN_00388_00028,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00028_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7527,0.75,0.75,0.0027000000000000357,0.0,23,1.104906,1.104906,1.104906,1.0000009999999997,1.299305,388.0,28.0,4.0,
BN_radical_complex_r,BN_00388_00029,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00029_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7528,0.75,0.75,0.0028000000000000247,0.0,19,1.099451,1.099451,1.099451,0.9999999999999999,1.236544,388.0,29.0,2.0,
BN_radical_complex_r,BN_00388_00030,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00030_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7532,0.75,0.75,0.0031999999999999806,0.0,46,1.106481,1.106481,1.106481,0.9999990000000002,1.9175649999999997,388.0,30.0,5.0,
BN_radical_complex_r,BN_00388_00032,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00032_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7528,0.75,0.75,0.0028000000000000247,0.0,25,1.0837,1.0837,1.0837,0.9999999999999999,1.2583940000000002,388.0,32.0,1.0,
BN_radical_complex_r,BN_00388_00033,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00033_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7527,0.75,0.75,0.0027000000000000357,0.0,23,1.092141,1.092141,1.092141,0.999999,1.2334589999999999,388.0,33.0,2.0,
BN_radical_complex_r,BN_00388_00042,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00042_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.753,0.75,0.75,0.0030000000000000027,0.0,27,1.074455,1.074455,1.074455,0.9999989999999999,1.3195649999999997,388.0,42.0,1.0,
BN_radical_complex_r,BN_00388_00046,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00046_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7803,0.7503,0.7503,0.030299999999999994,0.00029999999999996696,16,0.135455,0.610782,0.610782,1.0000010000000001,1.7995070000000002,388.0,46.0,1.0,
BN_radical_complex_r,BN_00388_00051,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00051_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7529,0.75,0.75,0.0029000000000000137,0.0,24,1.078789,1.078789,1.078789,1.0,1.3212599999999999,388.0,51.0,1.0,
BN_radical_complex_r,BN_00388_00053,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00053_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7526,0.75,0.75,0.0026000000000000467,0.0,23,1.088395,1.088395,1.088395,1.0000000000000002,1.26986,388.0,53.0,1.0,
BN_radical_complex_r,BN_00388_00054,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00054_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7538,0.75,0.75,0.0038000000000000256,0.0,14,1.035008,1.035008,1.035008,0.9999999999999999,1.2663419999999999,388.0,54.0,1.0,
BN_radical_complex_r,BN_00388_00055,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00055_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7528,0.75,0.75,0.0028000000000000247,0.0,16,1.085772,1.085772,1.085772,1.000001,1.316295,388.0,55.0,1.0,
BN_radical_complex_r,BN_00388_00056,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00056_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7529,0.75,0.75,0.0029000000000000137,0.0,22,1.048689,1.048689,1.048689,0.9999990000000001,1.2790190000000001,388.0,56.0,1.0,
BN_radical_complex_r,BN_00388_00058,E:\work\B_Cl_Nu\Data\GS_SPE\B_N_r\B_00388_Nu_00058_r_0000.log,True,reactant_spe_logs_from_3_Build_DataBase_v1,0.0,True,0,2,0.75,0.7528,0.75,0.75,0.0028000000000000247,0.0,24,1.096564,1.096564,1.096564,0.9999980000000004,1.269002,388.0,58.0,3.0,
