metric,column,outlier_group,n,mean,median,p90,p95,max,mean_abs_bep_residual,summary_block,pearson_abs_residual,spearman_abs_residual
BN B-atom spin density,bn_b_spin_density,False,8792,0.39124676774340317,0.28096,0.795954,0.926977,1.232969,2.7898639702861905,outlier_group_summary,,
BN B-atom spin density,bn_b_spin_density,True,445,0.3575516719101124,0.271471,0.7728216,0.8287685999999997,1.143885,12.367077789390915,outlier_group_summary,,
BN max abs spin density,bn_max_abs_spin_density,False,8792,0.5604953676069154,0.505293,0.799573,0.926977,1.232969,2.7898639702861905,outlier_group_summary,,
BN max abs spin density,bn_max_abs_spin_density,True,445,0.5681963168539326,0.534962,0.7983848,0.9542978,1.143885,12.367077789390915,outlier_group_summary,,
BN spin contamination,bn_spin_contamination_before,False,8792,0.02355262738853499,0.02395,0.0433,0.05,0.0994,2.7898639702861905,outlier_group_summary,,
BN spin contamination,bn_spin_contamination_before,True,445,0.023190112359550517,0.0242,0.0433999999999999,0.05,0.0924,12.367077789390915,outlier_group_summary,,
B radical atom spin density,b_atom_spin_density,False,8792,0.9540764067333939,0.994688,1.036185,1.055023,1.060363,2.7898639702861905,outlier_group_summary,,
B radical atom spin density,b_atom_spin_density,True,445,0.9469138921348315,0.987401,1.03205,1.053783,1.060363,12.367077789390915,outlier_group_summary,,
B radical max abs spin density,b_max_abs_spin_density,False,8792,0.9563680539126479,0.994688,1.036185,1.055023,1.060363,2.7898639702861905,outlier_group_summary,,
B radical max abs spin density,b_max_abs_spin_density,True,445,0.9490495887640451,0.987401,1.03205,1.053783,1.060363,12.367077789390915,outlier_group_summary,,
Cl-derived radical max abs spin density,clp_max_abs_spin_density,False,8792,0.8248601024795268,0.810873,1.032613,1.047729,1.113789,2.7898639702861905,outlier_group_summary,,
Cl-derived radical max abs spin density,clp_max_abs_spin_density,True,445,0.7558240179775281,0.783605,0.9601154000000002,1.0235055999999998,1.108034,12.367077789390915,outlier_group_summary,,
Cl-derived radical spin contamination,clp_spin_contamination_before,False,8792,0.015588808007279294,0.0079,0.0417999999999999,0.0452,0.0555999999999999,2.7898639702861905,outlier_group_summary,,
Cl-derived radical spin contamination,clp_spin_contamination_before,True,445,0.01281101123595502,0.006,0.03835999999999994,0.045679999999999894,0.0555999999999999,12.367077789390915,outlier_group_summary,,
BN B-atom spin density,bn_b_spin_density,,9237,,,,,,,correlation_summary,-0.08576279676386644,-0.13466869298764567
BN max abs spin density,bn_max_abs_spin_density,,9237,,,,,,,correlation_summary,-0.0055000961539198815,-0.022229156306321732
BN spin contamination,bn_spin_contamination_before,,9237,,,,,,,correlation_summary,0.04869457130891545,0.0757449956202212
B radical atom spin density,b_atom_spin_density,,9237,,,,,,,correlation_summary,0.02836902272841021,0.046588121869115
B radical max abs spin density,b_max_abs_spin_density,,9237,,,,,,,correlation_summary,0.03067428026358827,0.046696416072145315
Cl-derived radical max abs spin density,clp_max_abs_spin_density,,9237,,,,,,,correlation_summary,-0.11200118972488249,-0.07205479138473422
Cl-derived radical spin contamination,clp_spin_contamination_before,,9237,,,,,,,correlation_summary,-0.052719637379072724,-0.0032943286232057943
