reaction_key,B_Index,N_Index,N_Atomid,Cl_Index,opt_path,spe_path,ts_opt_min,ts_spe_min,ts_opt_spe_min,LB_B_opt_min,LB_B_spe_min,LB_B_min,C_Cl_opt_min,C_Cl_spe_min,C_Cl_min,LB_B_Cl_opt_min,LB_B_Cl_spe_min,LB_B_Cl_min,C_radical_opt_min,C_radical_spe_min,C_radical_min,components_min,complete_min,component_fraction
TS:388:0:500,388,0,2,500,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00000_Cl_00500_0012.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00000_Cl_00500_0012.log,17.113333333333333,5.083333333333333,22.196666666666665,3.53,0.6533333333333334,4.183333333333334,1.505,0.405,1.91,4.423333333333333,0.615,5.038333333333333,1.7866666666666668,0.2916666666666667,2.0783333333333336,13.21,35.406666666666666,0.37309357936358506
TS:388:1:466,388,1,1,466,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00466_0013.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00001_Cl_00466_0013.log,84.355,6.801666666666667,91.15666666666667,0.895,0.2716666666666666,1.1666666666666665,3.126666666666667,0.73,3.856666666666667,1.3716666666666666,0.3266666666666667,1.6983333333333333,6.123333333333333,0.9,7.023333333333333,13.745000000000001,104.90166666666667,0.1310274701704771
TS:388:1:474,388,1,1,474,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00474_0010.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00001_Cl_00474_0010.log,7.958333333333333,3.2266666666666666,11.184999999999999,0.895,0.2716666666666666,1.1666666666666665,1.5483333333333331,0.275,1.8233333333333333,1.3716666666666666,0.3266666666666667,1.6983333333333333,3.4800000000000004,0.4233333333333333,3.9033333333333338,8.591666666666667,19.776666666666664,0.43443451879319067
TS:388:1:475,388,1,1,475,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00475_0002.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00001_Cl_00475_0002.log,6.878333333333334,7.666666666666667,14.545000000000002,0.895,0.2716666666666666,1.1666666666666665,0.5333333333333333,0.0866666666666666,0.6199999999999999,1.3716666666666666,0.3266666666666667,1.6983333333333333,0.4,0.0783333333333333,0.47833333333333333,3.963333333333333,18.508333333333333,0.21413777577667717
TS:388:1:476,388,1,1,476,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00476_0000.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00001_Cl_00476_0000.log,6.101666666666667,2.273333333333333,8.375,0.895,0.2716666666666666,1.1666666666666665,0.635,0.1116666666666666,0.7466666666666666,1.3716666666666666,0.3266666666666667,1.6983333333333333,1.04,0.1133333333333333,1.1533333333333333,4.765,13.14,0.36263318112633175
TS:388:1:477,388,1,1,477,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00477_0000.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00001_Cl_00477_0000.log,6.23,2.3666666666666667,8.596666666666668,0.895,0.2716666666666666,1.1666666666666665,0.7450000000000001,0.2733333333333333,1.0183333333333335,1.3716666666666666,0.3266666666666667,1.6983333333333333,1.1233333333333333,0.355,1.4783333333333333,5.361666666666666,13.958333333333334,0.3841194029850746
TS:388:1:478,388,1,1,478,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00478_0011.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00001_Cl_00478_0011.log,14.008333333333333,21.275,35.28333333333333,0.895,0.2716666666666666,1.1666666666666665,1.08,0.26,1.34,1.3716666666666666,0.3266666666666667,1.6983333333333333,1.1816666666666666,0.3183333333333333,1.5,5.705,40.98833333333333,0.1391859472207539
TS:388:1:481,388,1,1,481,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00481_0011.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00001_Cl_00481_0011.log,8.67,1.2816666666666667,9.951666666666666,0.895,0.2716666666666666,1.1666666666666665,0.7366666666666666,0.1466666666666666,0.8833333333333332,1.3716666666666666,0.3266666666666667,1.6983333333333333,0.4966666666666667,0.1333333333333333,0.63,4.378333333333333,14.329999999999998,0.3055361712026053
TS:388:1:484,388,1,1,484,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00484_0010.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00001_Cl_00484_0010.log,11.86,52.63333333333333,64.49333333333334,0.895,0.2716666666666666,1.1666666666666665,2.453333333333333,0.44,2.893333333333333,1.3716666666666666,0.3266666666666667,1.6983333333333333,3.536666666666666,0.5066666666666666,4.043333333333333,9.801666666666666,74.295,0.1319290216928012
TS:388:1:486,388,1,1,486,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00486_0022.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00001_Cl_00486_0022.log,11.98,3.158333333333333,15.138333333333334,0.895,0.2716666666666666,1.1666666666666665,1.2766666666666668,0.4516666666666667,1.7283333333333335,1.3716666666666666,0.3266666666666667,1.6983333333333333,1.79,0.365,2.1550000000000002,6.748333333333334,21.886666666666667,0.308330795004569
