identifier,B_Index,N_Index,N_Atomid,Cl_Index,conf_idxs_ts,deltaG_qharm(kcal/mol),deltaGa_qharm(kcal/mol),bep_fit_deltaGa(kcal/mol),bep_residual(kcal/mol),bep_abs_residual(kcal/mol),bep_outlier_2sigma,bep_outlier_top5pct,log_found,log_path,log_source,log_name_variant,normal_termination,multiplicity,expected_s2,s2_before_annihilation,s2_after_annihilation,s2_final,spin_contamination_before,spin_contamination_after,high_spin_contamination
B_00388_Nu_00000_Cl_00500_0012,388,0,2,500,12,-31.9542931,14.54577649,10.978975112631687,3.5668013773683125,3.5668013773683125,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00000_Cl_00500_0012.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7579,0.75,0.75,0.0079,0.0,False
B_00388_Nu_00001_Cl_00466_0013,388,1,1,466,13,-43.52244927,9.404658515,6.7641477513743755,2.640510763625624,2.640510763625624,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00466_0013.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7526,0.75,0.75,0.0026,0.0,False
B_00388_Nu_00001_Cl_00474_0010,388,1,1,474,10,-25.62050655,8.26820277,13.286673630787458,-5.018470860787458,5.018470860787458,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00474_0010.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7558,0.75,0.75,0.0058,0.0,False
B_00388_Nu_00001_Cl_00475_0002,388,1,1,475,2,-29.44390743,11.35340683,11.893627547620751,-0.5402207176207501,0.5402207176207501,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00475_0002.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7586,0.75,0.75,0.0086,0.0,False
B_00388_Nu_00001_Cl_00476_0000,388,1,1,476,0,-40.00899104,12.12919339,8.044267042886215,4.084926347113784,4.084926347113784,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00476_0000.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7571,0.75,0.75,0.0070999999999999,0.0,False
B_00388_Nu_00001_Cl_00477_0000,388,1,1,477,0,-25.6759157,10.89675621,13.26648545230404,-2.3697292423040413,2.3697292423040413,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00477_0000.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7572,0.75,0.75,0.0071999999999999,0.0,False
B_00388_Nu_00001_Cl_00478_0011,388,1,1,478,11,-24.83260485,9.960599771,13.573743548788155,-3.6131437777881548,3.6131437777881548,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00478_0011.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7564,0.75,0.75,0.0063999999999999,0.0,False
B_00388_Nu_00001_Cl_00481_0011,388,1,1,481,11,-26.01939839,10.39077519,13.141338435039122,-2.750563245039123,2.750563245039123,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00481_0011.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7578,0.75,0.75,0.0078,0.0,False
B_00388_Nu_00001_Cl_00484_0010,388,1,1,484,10,-36.97084419,10.25049086,9.1512078796728,1.0992829803271995,1.0992829803271995,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00484_0010.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7565,0.75,0.75,0.0064999999999999,0.0,False
B_00388_Nu_00001_Cl_00486_0022,388,1,1,486,22,-22.28476178,14.03901143,14.502043489229383,-0.4630320592293824,0.4630320592293824,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00486_0022.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7598,0.7501,0.7501,0.0098,9.9999999999989e-05,False
