identifier,B_Index,N_Index,Cl_Index,conf_idxs_ts,log_source,log_name_variant,log_found,log_path,normal_termination,charge,multiplicity,expected_s2,s2_before_annihilation,s2_after_annihilation,s2_final,spin_contamination_before,spin_contamination_after
B_00388_Nu_00000_Cl_00500_0012,388,0,500,12,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00000_Cl_00500_0012.log,True,0,2,0.75,0.7579,0.75,0.75,0.007900000000000018,0.0
B_00388_Nu_00001_Cl_00466_0013,388,1,466,13,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00466_0013.log,True,0,2,0.75,0.7526,0.75,0.75,0.0026000000000000467,0.0
B_00388_Nu_00001_Cl_00474_0010,388,1,474,10,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00474_0010.log,True,0,2,0.75,0.7558,0.75,0.75,0.005800000000000027,0.0
B_00388_Nu_00001_Cl_00475_0002,388,1,475,2,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00475_0002.log,True,0,2,0.75,0.7586,0.75,0.75,0.008600000000000052,0.0
B_00388_Nu_00001_Cl_00476_0000,388,1,476,0,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00476_0000.log,True,0,2,0.75,0.7571,0.75,0.75,0.007099999999999995,0.0
B_00388_Nu_00001_Cl_00477_0000,388,1,477,0,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00477_0000.log,True,0,2,0.75,0.7572,0.75,0.75,0.007199999999999984,0.0
B_00388_Nu_00001_Cl_00478_0011,388,1,478,11,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00478_0011.log,True,0,2,0.75,0.7564,0.75,0.75,0.006399999999999961,0.0
B_00388_Nu_00001_Cl_00481_0011,388,1,481,11,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00481_0011.log,True,0,2,0.75,0.7578,0.75,0.75,0.007800000000000029,0.0
B_00388_Nu_00001_Cl_00484_0010,388,1,484,10,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00484_0010.log,True,0,2,0.75,0.7565,0.75,0.75,0.00649999999999995,0.0
B_00388_Nu_00001_Cl_00486_0022,388,1,486,22,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00486_0022.log,True,0,2,0.75,0.7598,0.7501,0.7501,0.009800000000000031,9.999999999998899e-05
