B_smiles,B_Index,B_Atomid,N_smiles,N_Index,N_Atomid,Cl_smiles,Cl_Index,Cl_Atomid,B_N_Cl_conf,Cl_r_conf,deltaG_react,G_energy_qharm,deltaG_react_qharm,B_type,LB_type,Cl_type
B,388,0,CN(C)c1ccc(C#N)cc1,51,1,N#CC(Cl)(Cl)Cl,455,3,1,0,-62.53950826,-1995.8698073294947,-63.691987562052574,BH3,Amine/Aryl N,CCl3
B,388,0,CC(=O)N1[C]N(C(C)=O)C=C1,145,4,ClCCl,462,0,0,0,-5.744808308,-1517.1792428465512,-0.8913478838627148,BH3,NHC,CCl2
B,388,0,CC(=O)N1[C]N(C(C)=O)C=C1,145,4,CNC(=O)CCl,503,5,0,0,-5.917496308,-1265.552809187528,-1.3023021733380653,BH3,NHC,CCl
B,388,0,CN1[C]N(C)C(Cl)C1Cl,172,2,C=CC(=C)Cl,476,4,0,0,-7.42614875,-1866.7746192342029,-3.276513323850219,BH3,NHC,CCl
B,388,0,CN1[C]N(C)C(Cl)C1Cl,172,2,O=C1NCC1Cl,518,5,0,0,-7.52316025,-1958.0748864727568,-3.5354010258688837,BH3,NHC,CCl
B,388,0,CN1[C]N(C)C(Cl)C1Cl,172,2,CC(Cl)C1(C)COC1,562,2,0,0,-6.8888205,-2021.7739655227208,-2.300490583045121,BH3,NHC,CCl
B,388,0,CN1[C]N(C)C(Cl)C1Cl,172,2,CO[Si](CCl)(OC)OC,608,4,0,0,-6.160293,-2385.656183127504,-2.6279167964899357,BH3,NHC,CCl
B,388,0,C=C1C(=C)N(C)[C]N1C,190,6,OCCCl,606,3,0,0,-4.691317382,-1022.7725427264588,-2.828373153104866,BH3,NHC,CCl
B,388,0,CN1[C]N(C)C(=O)c2ccccc2C1=O,195,2,FC1(F)C(F)(F)C(F)(Cl)C1(F)Cl,514,8,0,0,-4.645965448,-2382.876760505572,-3.09636393898796,BH3,NHC,CCl
B,388,0,CNC(=S)c1ccncc1,244,7,ClCCl,462,0,1,0,-6.359324078,-1764.9400080749842,-3.8136541880973134,BH3,Amine/Aryl N,CCl2
B,388,0,Cc1nc(C)c(C)nc1C,290,2,ClC(Cl)=C(Cl)Cl,489,0,0,0,-4.181326798,-2364.506240064829,-3.932597759071435,BH3,Amine/Aryl N,CCl2
B,388,0,c1cncnc1,312,2,CC1(CCl)COC1,501,3,0,0,-4.811679412,-1021.5925891698153,-3.4496854613197936,BH3,Amine/Aryl N,CCl
B,388,0,c1ncncn1,315,1,ClCCl,462,0,0,0,-4.784203697,-1266.0913320770687,-3.632618346327073,BH3,Amine/Aryl N,CCl2
BC#N,389,0,N#CP(C#N)C#N,143,2,ClC12CC3CC(CC(C3)C1)C2,508,0,0,0,-4.622708415,-1588.290316564257,-3.9545275109121305,RBH2,Phosphine,CCl
BC#N,389,0,CN1[C]N(C)C(=O)C1=O,160,2,O=C1C=CC(=O)C1Cl,523,7,0,0,-5.00168955,-1375.2967742908004,-3.611159732513069,RBH2,NHC,CCl
