dimension,category,missing_count,missing_fraction,first_12000_count,missing_rate_within_first_12000
B_type,BR3,0,0.0,0,
B_type,R2BH,1698,0.562251655629139,4108,0.4133398247322298
B_type,RBH2,976,0.32317880794701986,6756,0.14446417998815866
B_type,BH3,346,0.11456953642384106,1136,0.3045774647887324
Cl_type,CCl4,19,0.006291390728476821,230,0.08260869565217391
Cl_type,CCl3,391,0.1294701986754967,2168,0.18035055350553506
Cl_type,CCl2,494,0.16357615894039734,2572,0.19206842923794712
Cl_type,CCl,2116,0.7006622516556291,7030,0.30099573257467993
LB_type,Amine/Aryl N,1362,0.4509933774834437,7104,0.19172297297297297
LB_type,Phosphine,1081,0.3579470198675497,2879,0.3754775963876346
LB_type,NHC,577,0.19105960264900662,2017,0.2860684184432325
