B_Index,N_Index,Cl_Index,Conf_id,TS_G,deltaG(kcal/mol),deltaGa(kcal/mol),B_Cl,C_Cl
388,1,492,12,-1349.53302,2.36460825,11.53008032,2.572356688,1.858820739
388,33,492,10,-1520.331794,2.18225675,11.59837743,2.573153483,1.861774172
388,71,492,10,-2436.856731,20.231855,25.8347021,2.252839609,1.989601242
388,75,492,10,-1827.841305,13.56184375,19.89404665,2.348250208,1.967185778
388,141,480,0,-2000.912284,20.9915065,24.64967462,2.258242469,2.008427957
388,143,480,2,-1979.710016,20.03613775,26.04868588,2.229464529,2.020105547
388,143,483,0,-1924.33458,2.54921875,29.81886903,2.161498151,2.03450505
388,143,485,0,-1946.302429,-3.58848425,46.6732241,2.231557395,2.040379335
388,143,492,11,-1794.912201,25.223994,30.92823882,2.016619581,2.036674007
388,143,618,10,-2716.34701,-3.2161885,26.38742293,2.033545634,2.024583138
388,144,462,0,-1885.932962,-4.05019875,28.316063,2.294101132,2.156205496
388,160,462,0,-1439.698526,3.99949675,30.73386442,2.111125246,2.268727068
388,160,474,11,-1334.434202,20.48693375,38.6462943,2.008476145,2.325012849
388,160,490,0,-1117.38939,18.82932975,37.63901875,2.048582804,2.326773637
388,163,462,0,-1887.134781,-1.21829125,28.06219532,2.260200565,2.166527941
388,193,462,0,-1557.562179,-3.28276625,27.16755602,2.263651048,2.203618403
388,195,462,0,-1670.630043,1.802933,30.2097325,2.243370046,2.239288573
388,236,555,1,-1189.925506,-1.994446,29.81063622,2.228431634,2.272214182
388,236,603,1,-1263.898893,-3.58296225,32.25740305,2.262235507,2.206297085
388,241,462,10,-1326.132527,-3.13455075,31.99289297,2.233728404,2.194323287
388,245,462,1,-1347.214995,-2.8715655,32.4469959,2.227818208,2.200031363
388,254,462,0,-1418.347742,3.87186325,34.19531758,2.008872773,2.279422314
388,258,462,0,-1386.144043,-3.87700875,31.51187657,2.267677454,2.176973767
388,262,573,0,-1288.584525,1.58349625,8.223331025,2.262708692,2.304059783
388,273,462,10,-1418.353903,-2.8246285,31.7711031,2.22488356,2.184013068
388,273,550,0,-1111.337324,2.44404975,33.48339373,2.219908275,2.245584716
388,288,462,11,-1249.916564,-2.32720925,32.30641707,2.24704553,2.187045222
388,291,462,0,-1646.916437,1.000486,33.38645125,2.162145383,2.201764842
388,291,478,0,-1470.239737,18.18614225,43.03795972,2.033372511,2.219394023
388,291,568,1,-1842.172037,0.0872225,29.82365685,2.113645959,2.253409729
388,292,569,20,-1771.434532,2.02889575,34.4619235,2.022525236,2.223789304
388,292,600,0,-1933.302061,-0.63810475,26.20443137,2.076846793,2.246484459
