name,B_atom_1based,Cl_atom_1based,C_atom_1based,charge,multiplicity,imaginary_frequency_count_631gd,B_Cl_631gd_A,C_Cl_631gd_A,route_631gd
B_00388_L_00001_Cl_00475,1,2,19,0,2,1,2.58857856524097,1.9317840896756553,"opt=(calcfc,ts,noeigen,maxcycles=64) freq b3lyp/6-31g(d) em=gd3bj scrf=(smd,solvent=toluene) nosymm"
B_00388_L_00001_Cl_00477,1,2,18,0,2,1,2.5936172851806805,1.9016428367861298,"opt=(calcfc,ts,noeigen,maxcycles=64) freq b3lyp/6-31g(d) em=gd3bj scrf=(smd,solvent=toluene) nosymm"
B_00388_L_00001_Cl_00490,1,2,19,0,2,1,2.6073030988157093,1.8788858539767657,"opt=(calcfc,ts,noeigen,maxcycles=64) freq b3lyp/6-31g(d) em=gd3bj scrf=(smd,solvent=toluene) nosymm"
B_00388_L_00001_Cl_00506,1,2,19,0,2,1,2.842013693887839,1.9698600688521002,"opt=(calcfc,ts,noeigen,maxcycles=64) freq b3lyp/6-31g(d) em=gd3bj scrf=(smd,solvent=toluene) nosymm"
B_00388_L_00001_Cl_00519,1,2,18,0,2,1,2.7610610472564714,1.948253552945817,"opt=(calcfc,ts,noeigen,maxcycles=64) freq b3lyp/6-31g(d) em=gd3bj scrf=(smd,solvent=toluene) nosymm"
B_00388_L_00069_Cl_00490,1,2,19,0,2,1,2.4032607571141757,1.9815285175909023,"opt=(calcfc,ts,noeigen,maxcycles=64) freq b3lyp/6-31g(d) em=gd3bj scrf=(smd,solvent=toluene) nosymm"
B_00388_L_00072_Cl_00490,1,2,37,0,2,1,2.412664639766165,1.9736930748675185,"opt=(calcfc,ts,noeigen,maxcycles=100) freq b3lyp/6-31g(d) em=gd3bj scrf=(smd,solvent=toluene) nosymm"
B_00388_L_00072_Cl_00519,1,2,36,0,2,1,2.5181034999296594,2.050808346244231,"opt=(calcfc,ts,noeigen,maxcycles=64) freq b3lyp/6-31g(d) em=gd3bj scrf=(smd,solvent=toluene) nosymm"
B_00391_L_00033_Cl_00477,1,4,27,0,2,1,2.4118307589391503,2.003670767079512,"opt=(calcfc,ts,noeigen,maxcycles=64) freq b3lyp/6-31g(d) em=gd3bj scrf=(smd,solvent=toluene) nosymm"
B_00391_L_00033_Cl_00519,1,4,27,0,2,1,2.571728519125998,2.0639073798099568,"opt=(calcfc,ts,noeigen,maxcycles=64) freq b3lyp/6-31g(d) em=gd3bj scrf=(smd,solvent=toluene) nosymm"
B_00391_L_00069_Cl_00519,1,4,20,0,2,1,2.4659985313535775,2.1303038028180397,"opt=(calcfc,ts,noeigen,maxcycles=64) freq b3lyp/6-31g(d) em=gd3bj scrf=(smd,solvent=toluene) nosymm"
B_00394_L_00046_Cl_00519,1,8,28,0,2,1,2.550639622605475,2.036652214294085,"opt=(calcfc,ts,noeigen,maxcycles=64) freq b3lyp/6-31g(d) em=gd3bj scrf=(smd,solvent=toluene) nosymm"
B_00401_L_00146_Cl_00443,1,6,29,0,2,1,2.7766672192284765,2.0265326390208966,"opt=(calcfc,ts,noeigen,maxcycles=100) freq b3lyp/6-31g(d) em=gd3bj scrf=(smd,solvent=toluene) nosymm"
B_00427_L_00046_Cl_00519,1,5,25,0,2,1,2.5762978662095732,2.051934635741597,"opt=(calcfc,ts,noeigen,maxcycles=64) freq b3lyp/6-31g(d) em=gd3bj scrf=(smd,solvent=toluene) nosymm"
B_00427_L_00072_Cl_00477,1,5,43,0,2,1,2.3438912644312238,2.0639314401699487,"opt=(calcfc,ts,noeigen,maxcycles=100) freq b3lyp/6-31g(d) em=gd3bj scrf=(smd,solvent=toluene) nosymm"
